context,slot,value,label
"hi , im looking to find a local hotel that has free parking and free wifi . .
sure , there are multiple hotel -s to choose from . may i ask where you are located ?
the location is not important as long as it is a guest house .
we have the archway house in the north that is 4 star and offers free parking and internet . does this work ?
sounds good so far . . what is the price range ?",hotel name,archway house,
"is there a place on the east side of town with free parking ?
there are 6 hotel -s on the east side with free parking . do you have a price preference ?
i would like it to be somewhere that s really cheap , and i would really prefer a guest house if 1 is available .
how about the autumn house , it is a guest house that is cheap in the east ?
yes , please make a reservation for 1 person , 3 nights , starting from thursday .",hotel name,autumn house,
"can you help me with train schedules ?
i certainly can . what did you have in mind ?
i am looking for trains that depart from cambridge and go to broxbourne .
we have got several trains going that route . is there a particular day or time you need ?
i need to go on friday .
what time will you be departing from cambridge ? also what time do you need to arrive in broxbourne by ?
i just need to arrive by 18:30 , the departure time does not matter .
i have several that arrive before 18:30 . i have 1 that arrives at 16:01 , 17:01 , and 18:01 . they all leave an hour before arrival time and are 17.90 pounds .
can you book the train that will arrive at 18:01 and i need 4 tickets .
your booking was successful and the total fee is 71.59 gbp , which is payable at the station . your reference number is d3l643yz .
thanks . i also need a guest house to stay in in the north .
how about the acorn guest house ?
does it offer free wifi ? i would also like it to have 4 stars .",hotel name,acorn guest house,
"hi , i would like a hotel with a star of 4 on the east side of town .
a and b guest house is located in 124 tenison road . should i book it for you ?
it also need to be a cheap guest house , is that 1 ?
no , it is not but allenbell is . would you like a room there ?
i want to book for 5 people and 2 nights starting from saturday if available .",hotel book day,saturday,
"i would like for you to find a place to stay that has both free wifi and free parking .
what price range and what area are you looking for in particular ?
it should be in the expensive range and have a star rating of 2 . thanks !
we have a match for you ! express by holiday inn cambridge is located at 1517 norman way , coldhams business park in eastern cambridge . would you like to book ?
yes please . 1 person for 3 nights starting thursday .",hotel book day,thursday,
"can you help me find a train leaving cambridge , to arrive by 12:00 ?
where is your destination ?
i am going to ely .
on what day will you be travelling ?
actually , i need to go birmingham new street and will be traveling on friday .
i have train tr3732 arriving at 11:44 that is the closest i have to 12:00 .
that is perfect . can you book 1 seat for me please ?
your booking was successful , the total fee is 75.09 gbp payable at the station . reference number is : 2j0km65o . can i help with anything else ?
i need to find a room in the north as well .
do you have a specific price range or would you like the acorn guest house ?
that guest house is fine .
great , would you like me to book it ? what day will you be arriving , how many nights will you stay and how many people will be staying ?
actually , does the acorn guest house provide free parking ?
yes , there is free parking . could i book it for you ?
yes please book that for 4 nights starting from monday .
and how many people will be staying there ?
1 person will be staying .
sorry , that booking was unsuccessful .
hmm , how about tuesday ?",hotel book day,tuesday,
"i need help finding some place -s to go in the south part of the city when i visit .
i have several different options for you in that area ! do you have a certain type in mind ?
what would you recommend ? i do not have a preference .
wandlebury country park is a nice place and has no entrance fee . would you like more information ?
what kind of attraction is it ?
it is listed as a park .
thank you . i am also looking to book a room a the autumn house hotel .
i would be happy to help with that . can you tell me what day you would want to start your stay and the number of guests and nights ?
i need it for monday . i have 5 guests . i want to stay 4 nights .",hotel book day,monday,
"i am looking for a cheap place to stay with free wifi .
i have got 9 guest houses and 1 hotel that match your criteria . would you like to narrow down by star rating or area of town ?
yeah , i would like it to be in the east area of town , if you can .
i have 3 results all in the cheap range . the names are allenbell , autumn house , and leverton house . how else may i help ?
okay , book me into 1 of those starting sunday . there will be 8 of us staying 5 nights .",hotel book day,sunday,
"i am looking for a specific hotel . can you help me ?
yes , do you know the name of the location ?
i am looking for university arms hotel .
university arms hotel is in the centre of town with a expensive price range . it has 4 stars and free parking and internet .
can you book a room for me for 7 people ? we'll arrive on wednesday and stay for 3 nights .",hotel book day,wednesday,
"hi ! do you know of any afghan restaurant -s in the centre ?
sorry , there are no afghan restaurant -s in the centre .
well , if you do not have that , do you have 1 that serves korean ?
indeed , little seoul serves korean at 108 regent street city centre . would you like me to make a reservation for you ?
yes i would like the price range and address please .
the price range is expensive and its at 108 regent street city centre .
great , thanks . i am also looking for a hotel in the same area .
there are 5 hotel -s , do you have any other requirement -s ?
yes . the hotel should have 0 star rating and include free parking .
i have got the el shaddai . it has free internet and parking . would you like to book ?
yes . i need a booking for 6 people for 3 nights , starting on friday .",hotel book day,friday,
"hi there . i am looking to find a hotel room in town . can you help ?
i sure can help you ! we have many wonderful options available to you , is there a specific price range or area you would like ?
it may sound odd but i want a zero star hotel .
do you have any particular area that you would like to stay in ?
no preference really . and it does not really need to have free parking .
i would like to suggest cityroomz . is there any information you need about it ?
nope , as long it is the zero star hotel i will be happy . i love zero stars for the experience . thanks .
yes . can i book it for you ?
yes , please . there will be 5 people and we want to arrive on thursday and stay for 2 nights .",hotel book day,thursday,
"hello , i am looking for a train that s going to stevenage and leaves on tuesday .
sure , trains travel to cambridge every 2 hour -s , beginning at 06:43 . can i book 1 for you ?
i am looking for a train that departs from cambridge . i am traveling to stevenage and i need to arrive by 13:30 .
tr4546 departs at 09:21 and arrives at 10:10 . can i book that train for you ?
no . i just need to know how much the tickets are , please .
the price for a train ticket from cambridge to stevenage is 12.80 pounds . is there anything else that i can do for you ?
yes , i am looking for a hotel in town in the moderate price range .
we have 3 such options . does star rating matter ?
any should be fine as long as it has free wifi and is located in the centre
cityroomz is located in the center , would you like me to make a reservation ?
yes please for 5 people for 2 nights starting sunday .",hotel book day,sunday,
"hi i am looking for lodging in cambridge that include -s free wifi and is upscale and expensive
i found gonville hotel matching your requirement -s . would you like to stay there ?
i actually am looking for a guest house , not a hotel .
unfortunately , there is nothing that meets your criteria . is there anything else i can help you with ?
is there a guest house that might be in the cheap -er price range in the same area ?
yes , we should be able to find you a guest house . remind me of the area you need that in .
i need it in the east , please .
i found 3 great guest houses that meet your criteria ! would you like me to go ahead and book 1 ?
yes . i need 3 rooms beginning on tuesday for 2 nights .",hotel book day,tuesday,
"i am looking to book a train from leicester that leaves after 15:30 .
where is your destination ?
i am trying to get the leicester from cambridge , actually .",train destination,leicester,
"i am looking for a train . the train should leave on monday and should leave after 16:45
where are you going and where are you headed ?
the train should leave on monday and should leave after 16:45 , departing from stevenage and should go to cambridge .",train destination,cambridge,
"i am looking for a guest house in the south of town .
aylesbray lodge guest house is a cheap guest house located in the south .
i would prefer an expensive place , i am trying to impress my in laws .
there are no expensive guest houses in the south area in the expensive price range .
how about 1 in the moderate price range ?
there is 1 with 4 star and 1 with 3 star . which do you prefer ?
let s go with the 4 star . i would like to book it for 8 people , 2 nights starting friday .
okay that went well and i have your reservation number which is xiangg9f .
i am also looking for a train . going to cambridge , same day as the hotel booking .",train destination,cambridge,
"can you tell me what trains will be leaving from cambridge on wednesday ?
there are many trains out of cambridge . what destination are you thinking of ?
i want a train to birmingham new street that leaves after 16:30 .",train destination,birmingham new street,
"hello , i am looking for a place to go in the west . are there any museums there ?
yes , the museum of classical archaeology is in the west on sidgwick avenue . it offers free entry .
ok great ! can you tell me the postcode please ?
absolutely . their postcode is cb39da . is there anything else i can do for you today ?
can i get a train leaving from steveage on friday ?
that will not be a problem . what is your destination and what time would you like to arrive there ?
i want to go to cambridge and arrive by 16:30 .",train destination,cambridge,
"hi , i am planning a trip to cambridge and need some help with restaurant -s .
dojo noodle bar is located at 40210 millers yard in the city centre .
actually , i am looking for an expensive restaurant in the west area .
there are 9 expensive restaurant -s in the west . is there a type of cuisine you would like to try ?
how about indian food ? anything good in the west for that ?
there are 5 indian restaurant -s that meet your criteria . may i suggest tandoori palace at 68 histon road in chesterton ?
that will be good , for 5 at 17:15 on tuesday , please .
that is booked ! your reference number is r288oi3n . can i help with anything else ?
i also need a train leaving on wednesday going to leicester .",train destination,leicester,
"i am planning a trip to cambridge
excellent choice , my fellow human . what can i help you with ?
i would like a european place in the west to eat please .
the cambridge lodge restaurant is the only european restaurant in the west . it is in the expensive price range . would you like me to book you a table ?
no thanks , could you just give me their phone number ?
their phone is 01223355166 . can i help with anythign else ?
i need a train to stevenage on sunday , please . i need to arrive by 08:00 .",train destination,stevenage,
"hello ! i am looking for a restaurant that serves modern european food ? i would also like it to be located in the centre if possible .
there s 4 modern european restaurant -s in the centre of town . do you have a particular price range in mind ?
moderate would be fine .
there are 2 results . de luca cucina and bar and riverside brasserie , can i book 1 of these for you ?
yes please . you can make a recommendation . book for 6 people at 12:30 on wednesday and please proved the reference number .
your table at de luca cucina and bar will be held for 15 minutes . your reference number is 5peq5b4u . can i be of further assistance ?
yes , can you help me to find a train into cambridge for wednesday ?",train destination,cambridge,
"i am looking for information in cambridge
great ! would you be interested in hearing about some attractions in the area ?
i will not have much time for attractions , but i could really use some help finding cheap transportation . can you tell me about trains out of cambridge ?
where would you be going to ? and what day ?
i want to go to stevenage on sunday .",train destination,stevenage,
"find me a train from cambridge that arrives by 20:30
sure , where are you traveling to , and which day ?
i need to leave on sunday and i am headed to london liverpool street .",train destination,london liverpool street,
"i am looking for information in cambridge
sure , what can i help you with ?
i am looking for a place called clare college . can you find the postcode for me ?
clare college s postcode is cb21tl . do you need any more information ?
i also want a train that leaves on thursday and goes to cambridge",train day,thursday,
"looking for information in cambridge a restaurant in the expensive price range and should be in the east
sure , do you have a food preference ?
just something expensive in the east part of town please .
there are a few options . does idian sound good ?
sure . what is the postcode ?
the postcode is cb58pa .
i also need a train that departs cambridge , wednesday , after 9:30 and arrives in birmingham new street .",train day,wednesday,
"hi , can you help me find a train out of cambridge for my upcoming visit ?
absolutely . where would you be traveling to and for what day ?
monday , to broxbourne .",train day,monday,
"i am looking to book a place to stay in cambridge with free wifi with a moderate price range , can you help me with that ?
yes i have many options . do you have preference for what part of town you stay in ?
no preference . i am looking for a 4 star and guest house type .
the acorn guest house is located in the north area and has free internet and parking . would you like me to book this for you ?
what is the address and phone number ?
the phone number is 01223315702 and this is address . zipcode cb12dp 124 tenison road .
i also need a train to leicester on monday . can you help ?",train day,monday,
"i am looking for an attraction in the centre of town .
there is the broughton house gallery , do you like museums ?
yes , i do . i was hoping to find a place to visit that has unusual architecture . does the gallery fit this category ?
no , but there are several architectural sights in the city centre . would you like me to provide the addresses of some ?
yes , please .
there is all saints church on jesus lane , great saint mary s church on market square , holy trinity church on market street , and 2 others , would you like those addresses as well ?
can you give me the postcode and phone number for all saints church ? that sounds good .
their postcode is cb58bs . their phone number is 01223452587 . is there anything else i can help you with ?
yes , i need to find a train , too . i am coming to cambridge on thursday from birmingham , new street , and i would really like to get there before 16:30",train day,thursday,
"i need to take a train to cambridge , i will be arriving on saturday .",train day,saturday,
i need to find a train departing on sunday that is going to cambridge .,train day,sunday,
"hello ! i am planning my trip to cambridge and i am looking for place -s to go on the north side of town .
in the north , i have 4 attractions . 2 are swimming pools . i also have a park and a boating attraction . do you have a preference ?
boating sounds nice . can i get the address and entrance fee please ?
absolutely ! the address for riverboat georgina is cambridge passenger cruisers , jubilee house . i do not have any information on their entrance fee listed though .
i also need to find a train to go from bishops stortford to cambridge .
sure , what day and time would you like me to find out about ?
i would like to travel on wednesday and arrive by 11:30",train day,wednesday,
i need a train that departs from london kings cross that leaves on wednesday .,train day,wednesday,
"i am looking for architecture attractions in the centre .
hi , there are 5 in the centre . were you looking for free architecture attractions ?
not necessarily . which is your favorite ?
i really like old schools on trinity lane .
ok , can i get the postcode , phone number , and entrance fee for that 1 ? i am also looking for a train to cambridge from kings lynn .
the postcode is cb21tt , the phone number is 01223332320 , and the entrance fee is free .
sounds good . can you tell me about taking the train there ?
there are 133 trains available . could you give me the day and time you would like to travel ?
i would like to arrive no later than 17:15 on friday .",train day,friday,
"i am looking for a restaurant that services the americas in the centre .
i am sorry , i could not find anything that matched your criteria . perhaps try another area ?
i would prefer to stay in the centre , anything in the moderate price range would be fine .
i think yippee noodle bar would fit your needs .
perfect thank you !
would you like to book a table there ?
is there 1 that serves modern european food ?
riverside is modern european . i also have de luca .
please book reservations for 1 and provide me with the reference number .
what day and time should i book the reservation for ?
on second thought , can i just get the phone number , address and postcode for riverside ?
sure ! the phone number is 01223259988 . the address is doubletree by hilton cambridge granta place mill lane postcode cb21rt . is there anything else i can help you with ?
yes i need a train for thursday that leaves london kings cross and arrives in cambridge by 14:00 .",train departure,london kings cross,
"hi . can you help me find a train ?
were you interested in arriving or departing from cambridge , and on what day ?
i need to arrive in broxbourne . i need to leave cambridge after 16:15 on monday .",train departure,cambridge,
"i need a place to stay , and i need it to provide free parking .
there are lots of place -s to choose from . are you looking for something in a specific area of town ?
no , but i would like something with 4 star quality .
that narrows it down to 19 place -s to stay . i'll need to know what part of town you want to stay in or your price range to better help you .
any that have free wifi will be fine . i'll need to know the hotel type and postcode .
ok , if you are happy with a guest house , there s alexander bed and breakfast , which is a cheap 4 star place in the city centre . does that sound good ?
can you give me their post code ?
the postcode is cb12de , can i assist with anything else ?
i also need a train leaving at 19:00 from cambridge on tuesday . it should be arriving to london kings cross .",train departure,cambridge,
"i am looking for the home from home hotel , i would also like to know how many stars this hotel has .
the home from home hotel is located in the north at 7880 milton road . it is a 4 star hotel . would you like to make a reservation ?
you , know i'll think about it , but can i get a train leaving cambridge to arrive by 21:30 ?",train departure,cambridge,
"i am looking for some place -s to go in cambridge . specifically some time of architecture in the east .
i am not showing any architecture attractions in the east . would you like me to explore other area -s ?
a museum in the east would be nice if possible .
there are 4 museums in the east . i can recommend cambridge artworks .
can i please have the address , phone number and postcode for cambridge artworks ?
cambridge artworks is located at 5 greens road , post code cb13ef . their number is 01223902168 . is there anything else i can help you with ?
i am also looking for a train that leaves on monday after 13:00 .
there are 118 trains that leave after 13:00 on monday , where would you like to go ?
to kings lynn . i am leaving from cambridge if that helps .",train departure,cambridge,
"hello , i am looking for information . can you help me with a train ?
sure . can i get some more information ? where were you wanting to go to ?
i would be leaving cambridge and heading to peterborough on tuesday .",train departure,cambridge,
i need to take a train departing from stansted airport ?,train departure,stansted airport,
"i am looking for a train to cambridge that arrives by 16:45 on monday .
where would you like to leave from ?
i want to leave from the birmingham new street station .",train departure,birmingham new street,
"i am looking for a restaurant in the centre that is moderate -ly priced .
there are 21 different options . did you prefer a certain type of food ?
not really , but any place that can handle a booking for 7 people at 13:15 on saturday
booking was unsuccessful . would you like to try for another day or time slot ?
how about 12:15 instead , will that work ?
your reservation at yippee noodle bar is all set , reference number is k3mqvq4n
thank , i also need train tickets leaving cambridge at 20:30 or later .",train departure,cambridge,
what trains are available from cambridge on monday,train departure,cambridge,
"i am looking for a train ride that departs leicester on wednesday .
i found a lot of options , where would you like to go and what time would you depart ?
i would like to go to cambridge on wednesday . i would like to arrive by 10:45",train arrive by,10:45,
"hello , can you help me find a train arriving in cambridge by 20:00 ?",train arrive by,20:00,
"i am looking for an expensive , centrally located restaurant .
there are options for british food as well as asian and african food in that price range . which sounds most appealing to you ?
i do not care either way .
okay , how about the bedouin ? it s in the centre of town and has african food .
that sounds interesting ! i would like to book a table for 6 at 12:15 on thursday .
it s all booked , your reference is znl8d0eg
could you also help me find a train leaving friday for broxbourne ?
we have 19 trains leaving for broxbourne on friday beginning at 05:01 . do you have a preference ?
it should arrive by 17:15 .",train arrive by,17:15,
"i am trying to find a guest house with free parking to stay in .
there are 21 guest houses that fit that criteria are you looking for a particular area ?
i want to stay in the north .
there are 9 guest houses with free parking in north . do you have a star rating preference or price range ?
i am not picky about the star rating , but i am on a budget find me a cheap guest house , please .
there are 2 that match your criteria . city centre north bed and breakfast has 0 stars and worth house has 4 stars . would you like to book 1 of these ?
book the worth house for 6 people please . we'll be staying 5 nights starting wednesday . i'll need the reference number . i'll also need a train to cambridge after 12:00
i have got your guest house booking . your reference number is cacbmokk . now where will you be departing from on the train ?
i also need a train going to cambridge on wednesday leaving after 12:00
i found 126 trains do you have any other requirement -s ?
i would like it on the same day as the hotel booking leaving from ely if possible .
not a problem . what time do you want to arrive by ?
it does not matter , but i need to book it for the same 6 people .",train arrive by,any,
"i am looking for an attraction in the centre of town .
there is the broughton house gallery , do you like museums ?
yes , i do . i was hoping to find a place to visit that has unusual architecture . does the gallery fit this category ?
no , but there are several architectural sights in the city centre . would you like me to provide the addresses of some ?
yes , please .
there is all saints church on jesus lane , great saint mary s church on market square , holy trinity church on market street , and 2 others , would you like those addresses as well ?
can you give me the postcode and phone number for all saints church ? that sounds good .
their postcode is cb58bs . their phone number is 01223452587 . is there anything else i can help you with ?
yes , i need to find a train , too . i am coming to cambridge on thursday from birmingham , new street , and i would really like to get there before 16:30",train arrive by,16:30,
"i am looking for architecture attractions in the centre .
hi , there are 5 in the centre . were you looking for free architecture attractions ?
not necessarily . which is your favorite ?
i really like old schools on trinity lane .
ok , can i get the postcode , phone number , and entrance fee for that 1 ? i am also looking for a train to cambridge from kings lynn .
the postcode is cb21tt , the phone number is 01223332320 , and the entrance fee is free .
sounds good . can you tell me about taking the train there ?
there are 133 trains available . could you give me the day and time you would like to travel ?
i would like to arrive no later than 17:15 on friday .",train arrive by,17:15,
"can you help me find a train going to peterborough , with a departure time after 21:15 ?
sure , where are you departing from ?
my departing is from cambridge
do you have a specific time you need to arrive by ?
no i do not have an arrival preference .",train arrive by,any,
"i am looking for a train that leaves on saturday going to cambridge .
where are you departing from ?
i am leaving broxbourne and need to be in cambridge by 10:30 .",train arrive by,10:30,
"hi there , i am looking for a train going to cambridge .
i need to narrow down the search for you . where are you heading ?
as i said , i am heading to cambridge .
i am sorry , to help narrow down the results please reply with where you will be departing from and your requested arrival and departure time .
i need to arrive by 14:00",train arrive by,14:00,
i am looking for a train leaving london kings cross and arriving by 14:30 .,train arrive by,14:30,
"i am planning a trip in cambridge ,
okay . are you looking for a train , place to stay , or an attraction ? we can even make restaurant reservations for you .
the cambridge punter is what i would love to go to
what a great choice ! that is a boating attraction that is located in the center of town . they are located at 251a chesterton road . their postcode is cb41as .
i am also looking for a train . the train should leave after 20:15 and should depart from london liverpool street .
there are trains every day at 21:39 and 23:39 that run from london liverpool street to cambridge . do you know what day you will be travelling ? would you like to book tickets ?
please book 10 round trip tickets for wednesday at 21.39 . please send me the confirmation number along with the total cost of everything .",train leave at,21:39,
"i need a train from stansted airport to cambridge .
i would be happy to help you with that ! what day are you planning to travel ?
i am planning on traveling on wednesday .
okay i have 19 trains that leave wednesday , do you have a specific time you want to leave or arrive by ?
the departure time does not matter but i need to be there by 10:30 .",train leave at,any,
"i want to check out some colleges around here
we have 18 colleges in cambridge . is there a certain area of town you would like ?
no preference , i will go with what you recommend , all ill need is the entrance fee of that place .
well then , i would recommend magdalene college . it s interesting and has free admission . is there anything else you need today ?
i also need a train leaving from broxbourne on tuesday .
do you have a certain time that you would like to leave after or arrive by ?
i plan on getting lunch first , so sometime after then i would like to leave .",train leave at,after lunch,
"i am looking for a train going to cambridge , departing from norwich .
what day are you looking to leave ?
i am looking to leave on thursday please .
i have several trains leaving on thursday . what is your preferred departure and arrival time ?
i need to leave after 09:15 .",train leave at,09:15,
"hi i am looking for a train that will take me to cambridge . i want to get there by 15:30 .
what day would you like to travel and which station do you wish to depart from ?
i am leaving from stevenage and i would like to travel on monday .
very well . what time would you like to depart ?
it does not matter when i depart . i just need to arrive in cambridge by 15:30 . i will have 8 people .",train leave at,any,
"i want to find an expensive restaurant that has north american food .
the gourmet burger kitchen has exactly what you are looking for . it is located at regent street city centre .
great ! can you tell me the area of town that s located in , and give me their phone number , please ?
it is in the center of town . phone number is 01223312598 .
excellent . i also need a train booking . it should leave after 18:45 and depart from kings lynn .",train leave at,18:45,
"hi , i am planning a trip to cambridge and need some help with restaurant -s .
dojo noodle bar is located at 40210 millers yard in the city centre .
actually , i am looking for an expensive restaurant in the west area .
there are 9 expensive restaurant -s in the west . is there a type of cuisine you would like to try ?
how about indian food ? anything good in the west for that ?
there are 5 indian restaurant -s that meet your criteria . may i suggest tandoori palace at 68 histon road in chesterton ?
that will be good , for 5 at 17:15 on tuesday , please .
that is booked ! your reference number is r288oi3n . can i help with anything else ?
i also need a train leaving on wednesday going to leicester .
there are 19 trains going to leicester wednesday , where would you like to depart from and what time ?
i would like to depart sometime after 17:45 .",train leave at,17:45,
"hi , i would like a hotel with a star of 4 on the east side of town .
a and b guest house is located in 124 tenison road . should i book it for you ?
it also need to be a cheap guest house , is that 1 ?
no , it is not but allenbell is . would you like a room there ?
i want to book for 5 people and 2 nights starting from saturday if available .
alright , i was able to book your room at allenbell for 2 nights . your reference number is t2kbviza . is there anything else i can help you with ?
i also need a train leaving cambridge after 17:15 going to birmingham new street .",train leave at,17:15,
"what is a fun place to go in the west of town ?
may i suggest whale of a time located at unit 8 , viking way , bar hill ?
what type of attraction is it , and what does it cost to get in ?
it s an entertainment type . i do not know the entrance fee , sorry .
okay , thanks . can you also help me find a train to cambridge on thursday ?
i can do that ! where are you leaving from , and what time would you like to travel ?
ely , i would like to leave after 15:15 .",train leave at,15:15,
"can you help me find place -s to watch cinema ?
sure , there is a cinema in the south part of town as well as 1 in the centre . do you prefer either ?
i am going to be in the centre . can you tell me a little about the 1 there ?
the vue cinema is in the centre of town . the address is the grafton centre on east road , postcode cb11ps , and the phone number is 08712240240 .
great i also need a train that will leave after 21:15 and travel on wednesday",train leave at,21:15,
"i need a train from stansted airport to cambridge .
i would be happy to help you with that ! what day are you planning to travel ?
i am planning on traveling on wednesday .
okay i have 19 trains that leave wednesday , do you have a specific time you want to leave or arrive by ?
the departure time does not matter but i need to be there by 10:30 .
i have 5 options for you . the latest to arrive would get you there at 09:52 . would that work for you ?
yes i would like to book for 2 and need the reference number . i am also looking for attractions in the centre , anything to do with multiple sports .",train book people,2,
"i need a place to stay , and i need it to provide free parking .
there are lots of place -s to choose from . are you looking for something in a specific area of town ?
no , but i would like something with 4 star quality .
that narrows it down to 19 place -s to stay . i'll need to know what part of town you want to stay in or your price range to better help you .
any that have free wifi will be fine . i'll need to know the hotel type and postcode .
ok , if you are happy with a guest house , there s alexander bed and breakfast , which is a cheap 4 star place in the city centre . does that sound good ?
can you give me their post code ?
the postcode is cb12de , can i assist with anything else ?
i also need a train leaving at 19:00 from cambridge on tuesday . it should be arriving to london kings cross .
the tr4125 meets your criteria . would you like to book tickets ?
yes , 2 tickets please",train book people,2,
"i am looking for a train this saturday . can you help ?
i can certainly help with that . where are you departing from on saturday ?
i want to go to cambridge from london liverpool street , i would like to arrive by 17:15 .
i have 7 trains available . what time would you like to depart ?
i need to arrive no later than 17:15 please .
i have train tr5863 arriving at 17:07 is that okay for you ?
yes , i need 7 tickets .",train book people,7,
"hi , i would like information on a particular hotel called the kirkwood house .
it s a guest house in the north . it s moderate -ly priced . do you want me to book it ?
yes , please . i'll be traveling alone , arriving on monday , and i need to stay for 5 nights .
okay , so you would like the reservation for 6 days and 5 nights ?
yes , 5 nights starting monday .
okay i have booked you for 5 nights and your reservation number is 3a42d73d .
i also need a train that arrives by 17:45 on monday . departing from stevenage and arriving in cambridge
ok , the tr5825 arrives at 16:43 . would you like a ticket ?
yes , i need 1 ticket and can you give me a reference number ?",train book people,1,
"i am looking for a place to stay that include -s free parking and free wifi .
i can certainly help you with that . what area would you like to stay in and what price range did you have in mind ?
actually i want a guest house , specifically
sure , i can help you with that . what part of town were you looking for ?
any part of town just a guest house with free parking and free wifi .
i would recommend acorn guest house . would you like a reservation ?
yes , please . can you book a room for sunday for 5 people , 2 nights please ?
booking was successful . reference number is : z0u42hjv .
i also need a train departing from cambridge going to london kings cross on tuesday leaving after 18:00 . do you have any ?
tr4125 leaves at 19:00 on tuesday from cambridge and arrives in london kings cross at 19:51 . the price is 23.60 pounds . would you like me to book it ?
yes , please . can you book me 5 tickets please ?",train book people,5,
"i am looking for a place to go that s in the centre and deals with architecture . i think it would be really neat !
there are lots of area -s of interest , is there a price point you are looking for ?
i am looking for a moderate or cheap place in the centre .
there are 5 architecture attractions in the city centre . 4 of these are free to get in , and 1 has an entry fee . my personal favorite is the holy trinity church .
sounds like a plan . what s the address for the church ?
the address is market street postcode cb23nz . is there anything else you need help with ?
i need a train , leaving after 9:00 , going to cambridge .
there are many train options . where are you departing and what time would you like to leave at ?
i am departing from leicester on wednesday . please book it for 3 people .",train book people,3,
"i am looking for a restaurant called nandos city centre
yes , it is located at 3334 saint andrews street cb23ar .
i want to book a table for 5 people at 14:00 on sunday . i need the reference number .
booking was successful . the table will be reserved for 15 minutes . reference number is : cgxd71zm . what else may i help with ?
i also want a train which leaves after 17:30 on monday
what will be your destination and where are you leaving ?
i am trying to get to peterborough . i can leave any time after 17:30
there is a train departing cambridge for peterborough at 17:34 on monday . this would be the earliest train . shall i book this ?
yes , i will need it for 5 .",train book people,5,
"what trains are available from cambridge on monday
the first train departs at 05:00 and every 2 hour -s . the last 1 leaves at 13:00 . can i book you some tickets ?
i wanted to leave after 13:00 . when is the last train to kings lynn ?
there is 1 leaving at 13:11 , and they run every hour after that . that last 1 on monday leaves at 23:11 and arrives at 23:58 .
great . how much is the ticket for the train leaving at 13:11 ? what time does it arrive and what is the travel time ?
sure , tr0793 leaves at 13:11 , arrives at 13:58 and costs 9.80 pounds travel time 47 minutes .
sounds good . get me a ticket for tr0793 . thank you in advance .",train book people,1,
"please find me a train to cambridge . make sure it leaves after 15:45
i can help ! several trains come here . where are you departing from ?
i am departing from stansted airport .
tr9390 will leave at 16:24 and arrive by 16:52 . do you need to buy tickets now ?
yes . please book tickets for 8 .",train book people,8,
"hello . i am looking for a hotel on the north end of town with a 4 star rating .
i can assist you with finding a place to stay , but first , i can tell you we have no 4 star hotel -s on the north side of town in our database .
nothing in the north , 4 star ? i need that and cheap with free parking .
sorry , i do not have anything 4 star in that area . would you like to try another area ?
i really need something in the north that has 4 stars . can you double check ? i would even take a guest house if there is 1 .
i have found a guest house , worth house , that meets all your criteria north , cheap , 4 stars , free parking . would you like help booking this guest house ?
no , can i please just have the post code of that hotel for now ?
yes . the postcode is cb41da . is there anything else i can help you with today ?
i need a train as well .
what day and time would you like to take the train ?
i would like to leave on sunday with an arrival time by 08:30 .
no problem , there are many trains for sunday . from which station will you be leaving and your destination ?
i'll be leaving cambridge going to leicester please .
there is tr9187 that arrives at leicester by 08:06 . will that work for you ?
yes , make it for 3 people and i need a reference number .",train book people,3,
"i am looking for place -s to go , is there a college i could see ?",attraction type,college,
"i am looking for a 0 star hotel that is expensive .
i am sorry there are no hotel -s that fit that criteria . would you like a different amount of stars ?
what star rating -s do you have for hotel -s in the centre ?
there are 3 and 4 star hotel -s .
can you check for 1 in the moderate price range .
i have 18 different hotel -s in the moderate price range . is there a certain area you would like ?
yes please do a search for ones in the centre area .
i have the cityroomz hotel would you like to make reservations ?
yes , i need a reservation for 3 people , 3 nights starting wednesday and i also need the reference number .
i have made those reservations and your reference number is 29q1x35w .
thank you . i would also like entertainment options in the same area as you booked the hotel .",attraction type,entertainment,
"yes , i am looking for a moderate -ly priced guest house to stay in cambridge ?
which part of cambridge would you like to stay in ?
it really doesn t matter , but would like a 4 star hotel please .
there are 11 moderate -ly priced guest houses available . what area of town would you like to stay in ?
i do not have preference for the area . please , book 2 nights for 3 people starting saturday . i need the reference number .
is there a number of stars you prefer ?
i would like it to have 4 stars .
i booked a room at a and b guest house and the reference number is ada90o74 .
i am also looking for a place to go in the east that is a type of multiple sports .",attraction type,multiple sports,
can you find a college in the centre ?,attraction type,college,
"i need a place to stay ! can you help ?
we have many guest houses and hotel -s in town . are you looking for something specific ?
the hotel should have a star of 4 and should be in the cheap price range . the hotel should be in the east and should include free wifi
sure , i can help with that . were you looking for a specific type of entertainment ?
i am looking for the east area .
the allenbell would suite your needs . would you like me to make you a reservation ?
yes , please . i am coming in on tuesday and will need 5 nights for 3 people .
all set . the allenbell is expecting your party on tuesday and your reference is zeptv9pc . please let me know if there is anything else i can help you with .
yes please . i would like to go see a college that s in the same area as the hotel .",attraction type,college,
"hi ! can you help me find an awesome nightclub to go to tonight ? i do not want it to be too far away , so could you find 1 in the city centre ?",attraction type,nightclub,
