context,slot,gold,pred,label
"hello i am looking for a theatre in cambridge .
the adc theatre is in the town centre . can i get you some information about it ?
can i get their address , phone number and postcode please ?
sure the adc theatre is located at park street , postcode cb58as , their phone number 01223300085 .
thanks . i also need assistance with finding a train leaving cambridge .
i can help with that . to what destination are you traveling and on what day ?
i am going to stansted airport on friday .
there are several trains going to stansted airport on friday . what time would you like to leave ?
i do not have a preference regarding the departure time but i do need to arrive by 21:30 .
again there are several trains arriving by that time . how many tickets do you need ?
just the 1 ticket , please .",train leave at,any,,
"i am looking for an expensive chinese restaurant in cambridge .
any particular area you have in mind ?
i would like to be where all the action is in the centre of town .
i have 4 options that meet the choice of your request though i done have the phone number of 1 . do you wish i help you choose 1 ?
yes , please pick 1 for me . i need the address with postcode . i would also like the phone number too . thanks for your help !
how about sesame restaurant and bar ?
i would love to try that restaurant . what is the address , phone number , and postcode , please ?
17 hills road city centre , cb21nw and the phone is 01223358899 . would you like me to book that for you ?
no , not yet . can you help with a hotel room ?
yes , of course . please give me some details on the lodgings you desire .
i am looking for the alexander bed and breakfast . do you know it ?
yes , i get requests for them all the time . they are located at 56 saint barnabas road in the center of town . do you need more information ?
no thanks , just a booking for 5 people , 2 nights starting on sunday please .
your booking is all set ! your reference number is d4oqokpl . is there anything else i can help you with ?
thanks ! i will also need a taxi .
where are you going , and when do you need to leave by ?
commuting between the 2 place -s discussed leaving by 15:15 .",taxi destination,sesame restaurant and bar,,
"i am looking for a museum in the west to go to .
there are 7 museums in that area , did you want something with no entrance fee ?
yes , please . can i get the address and postcode ?
there are 6 free museums in the area . are you interested in archeology , art exhibits or galleries ? there is also a cafe gallery .
i am most interested in a museum . can you send me postcode and address . i also would like a cheap catalan restaurant , please .
well , we have many museums . the cambridge and county folk museum , for instance . or the museum of classical archaeology . what interests you ?
i'll try the folk museum . where can i find it ?
the cambridge & county folk museum costs 3.50 pounds entrance and is located at 21 castle street . their phone number is 01223355159 .
could you also provide the museum s postcode please ?
yes , the post code is cb30aq
i am also looking for a cheap catalan restaurant .
i am sorry , we do not have 1 . will some other type do ?
yes , can you find a chinese food restaurant in that post code instead ?
i am sorry , we do not have 1 . will some other type do ?
are there any italian place -s in town ?
there is 1 italian restaurant located in the same area as the museum . it is called the la margherita . would you like to book a table ?
yes . could you book a table for 8 at 13:15 on monday ?
i just completed your booking . the table will be reserved for 15 minutes and the reference number is gew1enh5 . is there anything else i can help you with ?
yes , i want to book a taxi to commute between the 2 place -s please .",restaurant food,italian,catalan,
"i am looking for a place in cambridge . it does not need to include internet and should be a hotel .
i was not able to find a hotel type with no internet , but there are hotel -s with internet .
okay , that would be fine , as long as it has free parking .
okay , do you have any preference on price range ?
no . how many are available ?
there are 8 different hotel -s around the city with free parking . do you have a preference for city area or star rating ?
it does not matter to me which part of the city it s in or it s rating . in your opinion , which 1 would be best for a short 3 day stay ?
it s hard to say . how about the ashley hotel in the norht part of town ?
is there room for 4 people on monday ?
unfortunately i cannot book that day and time . would you like to change the day or try a different hotel ?
can i try a different hotel ?
how about the express by holiday inn and cambridge , a 2 star , or huntingdon marriott hotel , a 4 star ?
do either of those include free parking ?
yes , they both have free parking , and internet as well . the marriott is in the west , and holiday inn in the east . does area of the city matter to you ?
no , that does not matter , as long as i can book a 3 night stay for 4 people on monday .
i was not able to book at either location , can i try something else ?
what else is available ?
ashley hotel is available , can i provide you more information on it ?
we can try and book that 1 as long as free parking . 4 people for 3 nights .
the only hotel available is university arms hotel . you are booked and the reference number is yjjttq9x . it comes with parking and internet and is in the centre .
thank you . i also need a train from cambridge on thursday .",hotel internet,no,,
"hi there . can you help me find a 2 star rated hotel or guest house ?
ashley hotel is a 2 star hotel in 74 chesterton road
does that include wifi ?
yes it include -s internet . would you like for me to book that for you ?
yes please , that would be great .
ok perfect . before i book , how many people will be staying at the hotel , what day you will be checking in , and how long you will be staying for please ?
thank you , i need to book for 3 people and 4 nights starting from tuesday .
i completed your booking . your reference number is 35w3xedl . is there anything else i could do to help ?
yes , i also need to verify that this hotel is in the east area of town .
ashley is on the north , there is an option in the east express holiday inn by cambridge , which 1 would you prefer ?
i actually really need a booking in the east . is it possible for you to book me at the express holiday inn by cambridge instead ? for tuesday , 3 people 4 nights .
yes , i was able to book you . your reference number is rmibuhde . is there anything else i can do for you ?
yes , i am looking for a train to cambridge from peterborough . i would like to arrive by 11:45 .
which day would you be traveling ?
on the same day as the hotel stay .
booking was successful , the total fee is 49.5 gbp payable at the station . reference number is : anhp9vyn . the train id is tr1674 .
what is the departure time and travel time ?
the train departs at 10:48 and the trip last 50 minutes . can i help you with anything else ?
no . thank you for all your help . goodbye",train book people,,3,
"great , i sure hope so . i need a restaurant .
i can help you with that . there are over 100 restaurant -s in cambridge . are you in the mood for a particular food ? or would you like a certain area ?
yes , i would like an expensive restaurant that serves indian food .
sure , there are 14 expensive indian restaurant -s . do you have an area in mind ?
i do not care about the about the area . i need a table for 4 .
what day and time would you like your reservation ?
i would like sunday at 18:15 , please .
i am sorry , there are no available table on sunday for 4 at 18:15 . would you like to book another day or time slot ?
let s try 17:15 .
ok , i have booked a table for 4 at 17:15 on sunday at the tandoori palace . your reference number is 3havrre7 . enjoy your evening !
thank you can i have the address as well ? additionally , are there any museums in the immediate area to visit before hand ?
the tandoori palace is located at 68 hinston road chesterton . there are many museums around town . would you like to hear about those in the same area as tandoori palace ?
sure , the closest museum would be fine .
i have several museums in that area cafe jello gallery , cambridge book and print gallery , kettle s yard and lynne strover gallery all have free entrance fee .
okay , lynne strover sounds great . give me the address and post code , please . also , which area is that , again ?
they are located at 23 high street , fen ditton . post code is cb30aq .",attraction area,west,,
"i need to find a guest house in the north .
i have about 11 different options . do you have a preference on price range ?
i would prefer that be expensive .
there are no expensive guest houses however i do see moderate ones . would you like to try 1 of those ?
yes , but needs to be a 4 star in the north
ok , there are 7 options . would you like free internet or parking ?
does not matter . book 1 of them for myself and 3 nights starting from wednesday .
booking at the acorn guest house was successful , the reference number is o4bo1b0l . it is located at 154 chesterton road , postal code cb41da . is there anything else i can help with ?
yes , can you help me find a train ?
i can . all i need is your departure location , destination , day and when you would like to either leave or arrive by .
i will be leaving birmingham new street the same day as my hotel booking .
booking was successful , the total fee is 75.09 gbp payable at the station . reference number is : qrzk7y5s .
wow . you did not even get the timeframe i am looking for . i cannot leave until after 14:30 .
i apologize ! there are 2 trains leaving near your requested time . 1 at 14:40 and 1 at 15:40 . will 1 of those work ?
the 1 at 14:40 should be fine . can you tell me when it arrives ?
it will arrive at 17:23 .
what is the travel time ?
it s 163 minutes . would you like to book some tickets ?
yes please , just 1 ticket would be fine .",hotel price range,moderate,expensive,
"hi , i am looking forward to eat at your local restaurant -s on my upcoming trip . i have those planned , but could use some help with place -s to go in town .
do you have any food type , price range , and location preferences ?
you know what , i change my mind . let s look for an attraction for entertainment in the centre of town .
there are lots of attractions is there anything specific you are looking for ?
i am looking for a entertainment please .
there s nothing matching that criteria . do you want to search in a different area ?
no . i am thinking it may be nice to visit a college . can you please recommend 1 of those ?
there are 5 . i recommend downing college .
how far away is it from the all saints church ?
all saints is in the center of town at jesus lane .
i would like the address , postcode and entrance fee .
sure , it is free and it is located at jesus lane , postcode cb58bs .
thanks . now lets try for a restaurant again . i am looking for something cheap that serves asian oriental in the centre .
j restaurant is my favorite . can i book for you ?
book for 3 people at 19:00 on sunday
you have a table reserved at j restaurant on sunday for a party of 3 . your reference is y1tz0i81 . is there anything else i can help you with today ?
can you also arrange for a taxi for me ?",restaurant food,asian oriental,asian,
"i am looking for an expensive place to dine which serves indian food .
several restaurant -s fit your criteria . do you prefer a specific area ?
yes , i am looking to stay in the centre of town .
the top 3 place -s serving indian cuisine are curry garden , the golden curry , and saffron brasserie . would you like more options ?
any of those would be fine . i need a table for 7 at 16:00 on saturday . is it possible to book at 1 of those place -s ?
your table for 7 is reserved at curry garden . your reference number is : 2ozt0p7i . is there anything else i can help you with today ?
i am also looking for a train leaving cambridge on sunday .
there are 202 trains leaving cambridge that day , do you have a destination or time ?
i am looking to go to kings lynn and arrive by 8:15",restaurant name,any,,
"i am looking for a cheap hotel with free parking near cambridge .
i have multiple cheap hotel -s with free parking . what part of town are you interested in staying in ?
i would like to stay close to the center area , but the hotel should be 3 star .
we do not have any hotel -s that match your search . do you want to try something else ?
are there any moderate 3 star hotel -s with free parking ?
we do not have any hotel -s that match your search . do you want to try something else ?
how about 1 in the moderate price range ?
we have 3 entries that match your preferences . would you prefer north , south , or west ?
i do not have a preference but i would also like ot find a restaurant called the cow pizza kitchen and bar .
before i book your restaurant would you like to book your lodging ? i think you will like hamilton lodge . it meets your needs .
does it have internet ?
yes , the hamilton lodge has internet .
sounds great . what is the address and contact information ?
hamilton lodge is located at 156 chesterton road postcode cb41da . their phone is 01223365664 . would you like me to book a room for you ?
that s not necessary , thank you . you could , however , find me a restaurant a friend mentioned . i think it was called the cow pizza kitchen and bar .
the cow pizza kitchen and bar is a moderate -ly priced gastropub in the centre of town . would you like a reservation ?
may i have the address for the cow pizza kitchen and bar please ?
the address is corn exchange street . is there anything else i can help you with ?
i would like a taxi for the hotel by 13:45 to get to the restaurant please .",taxi arrive by,,13:45,
"what s your favorite college to visit in cambridge ?
i like christ s college in the center of town , but there are many others throughout the city . what part of the city did you want to visit ?
i think i would like to visit that location , it seems nice . could i get the phone number and the area ?
the area is centre and the phone number is 01223334900 . is there anything else i can help you with ?
actually , i am hungry . can you find me a restaurant that serves north american food ? something not super expensive , maybe in a moderate price range ?
i am sorry , there s no restaurant serving specifically north american or american food in my database , is there another type of food you would consider ?
how about modern european food ?
there are 3 modern european restaurant -s 2 in the center and 1 in the south . do you have a preference ?
i would prefer the 1 on the centre , could i have the phone number and postcode please ?
de luca cucina and bar s phone number is 01223356666 . postcode is cb21aw .
could you help me get a taxi to get from the college to the restaurant ?
what time would you like to leave the college ? i can book you a taxi to take you to the restaurant if you would like .
i would like to leave by 13:00 .
i have booked you a taxi leaving at 12:45 . the car will be a red toyota and contact number is 07350032543 . anything else today ?",taxi departure,christ college,,
"i am looking for a place to stay . the hotel should be in the east and does not need to include internet .
i like the express by holiday inn cambridge . it is 2 stars and expensive , really nice .
i would prefer a 4 star for my taste , and a guest house please
i have many to choose from . would you like me to recommend 1 ?
yes that would be wonderful .
i recommend carolina bed and breakfast , it s in the east , moderate -ly priced , and comes with internet and parking .
is the parking free perchance ?
yes , parking is free . would you like me to book a room for you ?
could i have the post code ?
sure , the postcode is cb13nx . anything else ?
could i have the phone number too ?
yes carolina bed and breakfast phone is 01223247015
can you help me find some sort of entertainment ?
absolutely , what area and what type of attraction are you looking for ?",hotel internet,any,no,
"i am looking for a cheap guest house to stay in for my trip to cambridge .
i have 9 entries matching your request . do you have a preference for area ?
preferably in the west side of town . i would also like something 4 star rated if possible .
there are 7 guest houses that meet your criteria . might i recommend alexander bed and breakfast ?
does it have a 4 star rating and internet ?
finches bed and breakfast is located in the west . it is an inexpensive 4 star guest house with internet and parking . would you like me to book a room for you ?
that s all the info i needed can you find me a concerthall in the south ?
i am afraid the only concert hall in town is the man on the moon , but it s in the centre rather than the south . would that work for you ?
are there any place -s listed simply as entertainment that are in the south ?
we have nusha and tenpin in the south .
sounds good , please advise the address and phone number . thank you .
the address for nusha is unit g6 , cambridge leisure park , clifton road and the phone number is 01223902158 . do you also need tenpin s information ?",attraction name,"nusha, tenpin",,
i am looking for a place in cambridge . it does not need to include internet and should be a hotel .,hotel internet,no,,
"i am looking for a place called kambar
sure , i found it ! it s located at 1 wheeler street . it s a nightclub in the city s centre and it has a 5 pounds entrance fee .
please give me their postcode
the postcode for kambar is cb23qb .
i also need a place to stay , a hotel with free parking and in the center of town .
i have 2 hotel -s in the expensive price range and 2 guest houses in the cheap price range . do you have a preference ?
i would prefer a guest house
i have 2 to choose from . may i recommend the alexander bed and breakfast ?
that would be fine . could you tell me how many stars it has ?
it has 4 stars . can i book a room for you ?
no whats the price range , postcode please ?",hotel price range,,cheap,
"hi , can you give me some information on a place to stay when i arrive in cambridge next week ?
there are 24 guest houses and 9 hotel -s across cambridge . what type of place and price range are you looking for ?
not worried about the price but i would like a guest house in the east with free wifi .
the a and b guest house is in the east with free wifi . would you like their address ?
yes , and may you please book a room in the hotel for 4 nights ? it s for 1 person .
i can help you with that . what day will you be arriving at the hotel ?
i will be arriving on monday , i will need the reference number please .
the address for the a and b guest house is 124 tenison road . your reservation has been set for check in on monday and your reference number is 1gwcwhlm .
i am also looking for some place -s to go in the same area as the hotel . can you make some suggestions ? i need the address , postcode , and entrance fee if any .
what type of attraction are you looking for ?
how about some restaurant -s , and i want to book a taxi so that i can travel from place to place .
i apologize . i do not want to misunderstand your request . so , you are wanting to look for an attraction or a restaurant ?
sorry , i am looking for an attraction .
the cambridge artworks museum is located at 5 greens road cb13ef . it has free admission .
do they have ample parking ?
i am sorry i do not have that information .
that s fine , uh . . i want to book a taxi so that i can travel from the guest house to the museum .
what day and time would you like to book a taxi for ?
i would like to leave the museum by 23:15 to head back to the guest house .
okay , your driver will be in a red bmw and the contact number is 07055562592 . can i just confirm , you are traveling back to the guest house from the museum ?
great thank you . yes that is correct .",taxi departure,cambridge artworks,a and b guest house,
"hi , can you help me find a 4 star place to stay ?
there are a total of 21 hotel -s and guest houses in the city that have 4 stars . is there a particular area or price range you would like ?
how about a place in the east side of town that is a hotel not a guest house
i am sorry but i do not have any hotel -s in the east . would you like to change location or type of accomodations ?
yes , can you please change the location to centre ?
we have 14 star hotel that is in the centre , university arms hotel , it has internet and parking and is expensive , would this 1 suit you ?
that will be fine . can you book me a room for saturday , please ?
certainly . how long would you like to stay , and how many are in your party ?
i'll be arriving saturday and staying 3 nights . there are 3 of us .
unfortunately , we cannot book you for those days . could you change the number of days ?
sure , try for 2 days ?
that was unsuccessful too . wanna try something else ?
is there another 1 in the centre with that critera avaible ?",hotel book stay,2,3,
"i need a taxi to arrive by 16:45 to take me to the parkside police station .
where would you like the taxi to pick you up ?
i actually need to be picked up from the parkside police station . sorry about taht .
that s okay . where is your destination ?
i am wanting to go to stansted airport train station .
your taxi booking is a yellow volkswagen with the contact number of 07339912841 .
that s all i need thanks",taxi arrive by,,16:45,
"yeah , i am visiting cambridge and was wondering if you could tell me about the all saints church ?
good choice ! all saints church has beautiful architecture , located on jesus lane in the town center . phone number is 01223452587 .
can you tell me what part of town the church is located in ?
all saint s in in the centre of town . is there anything else you would like to know ?
great , i am also looking to stay at a guest house in the north
i found 11 guest houses in the north . did you have a star rating that you wanted ?
no particular star rating but i do want free wifi .
many of the guest houses in the north offer internet , will you require parking ?
parking is not important . could you recommend 1 for me ?
i am showing 10 available guest houses in the north . could you narrow it down by price range or stars ?
i am looking for a room less then 130 a night with at least a 4 star rating .
i recommend acorn guest house . although i do not show an exact price it is a moderate -ly priced guest house in the north , 4 stars . want to book it ?
yeah , book me a room for 3 nights , starting monday .",hotel book people,,1,
"i am looking for a hotel with free wifi and at least a 3 star rating , please .
i listed these hotel -s , which 1 do you want me to book for you ?
i would like a hotel that has free wifi and free parking . it should be moderate -ly priced with a 3 star rating .
i have several options for you , ranging from cheap to expensive in price . do you have a price range in mind , or perhaps a certain area of town ?
moderate priced any where in town please .
i unfortunately was not able to find anything that matches your request . shall we look for a hotel that s a bit more expensive ?
there are not any 3 star hotel -s that offer free wifi and park that is moderate -ly priced ?
that s correct . there are 3 guest houses that have your requirement -s . would any of those interest you ?
i am not particular . where are they located ?
the guest houses are located in the south , north , and west end . which do you prefer ?
i would like whichever 1 is cheapest please .
i am just showing that they are moderate -ly priced . if you would like i can give you their phone numbers or search for a cheap price range hotel .
that will not be necessary . i am looking to book a train too .
i can help you find a train . please let me know the day , time and destination .
i need to leave friday . i need to arrive in cambridge by 20:30 .",hotel type,guest house,,
"i need to find a guest house in the north .
i have about 11 different options . do you have a preference on price range ?
i would prefer that be expensive .
there are no expensive guest houses however i do see moderate ones . would you like to try 1 of those ?
yes , but needs to be a 4 star in the north
ok , there are 7 options . would you like free internet or parking ?
does not matter . book 1 of them for myself and 3 nights starting from wednesday .
booking at the acorn guest house was successful , the reference number is o4bo1b0l . it is located at 154 chesterton road , postal code cb41da . is there anything else i can help with ?
yes , can you help me find a train ?
i can . all i need is your departure location , destination , day and when you would like to either leave or arrive by .
i will be leaving birmingham new street the same day as my hotel booking .",hotel parking,any,,
"i am trying to find a hotel called allenbell . can you help ?
yes allenbell is located on 517a coldham lane in the east . would you like me to book a room for you ?
book for me bed and breakfast for 5 people from tommorrow .
how many days will you be staying ?
actually do not book it just yet on second thought . can you advise how many stars it has and the price first ?
the allenbell is a 4 star guest house in the cheap price range .
i need a a restaurant . the restaurant should be in the west and should serve italian food . the restaurant should be in the moderate price range",hotel book day,,tuesday,
"i am looking for a restaurant called restaurant 17 . can you help me ?
it is in the centre of town located at de vere university arms regent street city centre
that is the 1 . can you make a reservation for 6 on friday please ? 12:00 would be good .
i booked that for your for a party of 6 at noon on friday . the reference number is : 6wsk0kxy . is there anything else you need ?
what is the price range of this restaurant ?
it s a moderate -ly priced restaurant .
i am also looking for a place to stay in the centre . it should be cheap .
alexander bed and breakfast is a nice 4 star guest house . can i book a room for you ?
do they have free wifi ?
they do . shall i book it ?
can you tell me if this a hotel or guest house and whether or not they have free parking please ?
it is a guest house and they have parking . would you like to book that ?
actually they will do but no need to book , i was just getting information .
ok great , is there anything else i can do for you ?
is the parking free ? ?",restaurant name,restaurant 17,restaurant 22,
"i am looking for information . can you help me find a place to stay ? i want a hotel , not a guestroom .
what area and and or price range would you like ? if neither of those matter , i recommend the gonville , in the center of town .
moderate would be a perfect price range .
do you have any other criteria ?
yes , a 2 star rating would be great .
we have 2 at the note , do i recommend 1 ?
yes please do and book it for 5 people for 4 nights from monday .
ashley hotel is a great hotel located in the north with free wifi and parking . if that sounds good to you , then i will go ahead and book it ?
yes please .
great ! for how many people , which day , and for how long ?
5 people for 4 nights starting from monday .
you are booked for the ashley hotel . your reference number is fx8l2kid . is there anything else i can assist you with ?
i also need to book a taxi to commute between the 2 place -s .
okay , where are you departing from ?
actually i am looking for the corn cambridge exchange first .
the cambridge corn exchange is a theater in the center of the city . it s located at wheeler street , would you like their address ?
yes , and i would also like to book a taxi to leave by 07:15 .",attraction name,the cambridge corn exchange,none,
"i am looking forward to trying local restaurant -s but would like help finding a place to go in town . i would like it to be in the south and a swimmingpool
i am sorry , i am experiencing a system error . could you please restate your request ?
i want a place to go in the south , a swimmingpool . or another type of entertainment , if there is no pool ?
i am sorry , but there are not any swimming pools in the south area . there are 2 parks and a cinema . are you interested in 1 of these ? or something else ?
yes , are there any entertainment attractions then ?
there are 2 attractions listed , nusha and tenpin . would you like more information about them ?
can i have the entrance fee for the nusha , as well as the phone number ?
the entrance fee is not shown . the phone number for nusha is 01223902158 . is there anything else i can do for you ?
yes , can you please find me a good indian restaurant in the same area as the attraction ? money is no object .
yes , the taj tandoori is a great indian place in the south area of the city . it s expensive , but definitely worth it . would you like a reservation there ?
sure . book it for 14:30 on saturday for 3 people .
alright , you are all set . your reference number is 4flws8v8 .
i would also like to book a taxi please .
from nusha to taj tandoori ?
yes , to commute between both place -s .
ok , will do . is there anything else i can do ?
yes , the taxi needs to arrive at taj tandoori by 14:30 . can you let me know what type of car will be coming and give me the contact number , please ?
i am having trouble setting up the taxi . are you leaving from nusha ?
yes , i'll be leaving from nusha .
what time would you like to leave ?
i need to leave early enough to arrive at the restaurant by 14:30 .
great , be on the lookout for a yellow audi . the contact number is 07395163696 . may i help with anything else ?",restaurant price range,expensive,any,
"hi , i am traveling to cambridge and need help finding a train .
when would you like to travel and where are you coming from ?
i would like to leave on tuesday sometime after 13:00 .
i have a train leaving london s kings cross station every 2 hour -s , starting at 13:17 . the trip is 51 minutes long and costs 23.60 pounds .
i'll actually be departing from leicester . what do you have available from there ?
tr4032 will depart at 13:09 if that works for you ?
yes i need it booked for 4 people .
ok , the booking was successful . the total fee is 151.19 gbp , payable at the station . your reference number is h02hfbmh .
i am also looking for a moderate -ly priced chinese restaurant located in the north .
golden wok is in the moderate price range and in the north area would you like me to book it for you ?",train leave at,13:00,13:09,
"i would like to find an architectural attraction to go to in the centre . can you help me ?
yes ! i found 5 attractions matching your requirement -s . would you like to know more ?
i would like to get the entrance fee and address of them please
great saint mary s church is 2 pounds and the other 4 are free . would you like the address for great saint mary s church ?
yes , that would be great .
the church is located in market square postcode cb23pq . i do not have access to the full address .
okay thank you . that is all i needed .
ok , can i help with any other travel plans ?
we are looking for a place to dine , preferably expensive italian food in the same area as the attraction . what do you suggest ? i need an address and postcode please .
okay , i recommend the clown s cafe . would you like me to make a reservation ?
can you book it for me and get a reference number ?
yes i can if you let me know how many people the reservation will be for an date and time of the booking .",restaurant name,clowns cafe,,
"yes , can you tell me information on cambridge lodgings ? we are looking for free wifi and a nice guest house .
sure . what area and price range are you looking for ?
i do not really care about area or price range , the most important thing for me is free wifi in a guest house that has free parking .
i have got over 20 guest houses that will work with those requirement -s . would you like me to book a moderate -ly priced 4 star ?
as long as it has free wifi and parking then yes .
i would recommend the acorn guest house on the north side of town . it has 4 stars . should i book this ?
yes . please book it for 8 people for 5 nights starting from sunday .
ok . you are all set for the acorn guest house on sunday . the reference number is rlsl7bti . can i help you with anything else ?
can i get a train from leicester to cambridge ? should be on that same sunday and i would need it to arrive by 20:30 .
there are several trains you can choose from . train tr1079 leaves at 09:09 and arrives at 10:54 . would you like to book it or try another ?
you can book that 1 . i need the booking for 8 people . could i get a reference number ?
i have booked your tickets . the reference number is 3enda3ic .",train destination,cambridge,acorn guest house,
"i am looking for a cheap hotel with free parking near cambridge .
i have multiple cheap hotel -s with free parking . what part of town are you interested in staying in ?
i would like to stay close to the center area , but the hotel should be 3 star .
we do not have any hotel -s that match your search . do you want to try something else ?
are there any moderate 3 star hotel -s with free parking ?
we do not have any hotel -s that match your search . do you want to try something else ?
how about 1 in the moderate price range ?
we have 3 entries that match your preferences . would you prefer north , south , or west ?
i do not have a preference but i would also like ot find a restaurant called the cow pizza kitchen and bar .
before i book your restaurant would you like to book your lodging ? i think you will like hamilton lodge . it meets your needs .
does it have internet ?
yes , the hamilton lodge has internet .",hotel area,centre,any,
"i would like to eat not too pricy or cheap in centre of town .
there are 21 available restaurant -s . do you want to specify food type ?
no . can you recommend something ?
how do i get to restaurant 17
i am not sure what you are asking me ? i would like a recommendation for a restaurant , please .",restaurant price range,"cheap, moderate",moderate,
"can you locate for me a train that leaves on tuesday after 3:15 pm ? thanks .
there is a train that leaves cambridge at 15:00 and arrives at london kings cross at 15:51 on tuesday .
that s too early . i need to leave after 15:15 .
the next best option will be tr0945 which leaves cambridge at 17:00 and arrives at london kings cross at 17:51 .
yes . book that 1 for 8 people .
i have , ade the booking and here is the information:booking was successful , the total fee is 188.8 gbp payable at the station . reference number is : pyeq37fs .
i am also looking for a place to go in the centre .
sure , what type of attraction are you interested in ?
i would like to go to a theatre . can i please have the address , post code , and phone number to 1 that you recommend ?
i suggest the cambridge arts theatre . the address is 6 saint edward s passage . the post code is cb23pj and the phone number is 01223503333 .",train departure,,cambridge,
"what is the address for pizza hut in cherry hinton ?
the address is g4 cambridge leisure park clifton way cherry hinton .
i need to reserve a table there .
ok , let s start with which day you would like to have this reservation ?
book a table for 8 people at 17:15 on sunday .
okay , i will work on getting that booked and get back with you shortly .
i am in a hurry , this is odd . hello ? can anyone help me ? can i speak with your supervisor ?
i was able to book that , reference number is iu1whv35
thanks . i would also like a multiple sports attractions in the centre .
there are unfortunately no multiple sports attractions in the centre . would you like me to search other area -s for the multiple sports attraction ?
no problem , how about a nightclub ?
absolutely . there are 5 nightclubs located in the centre . all of them have an entrance fee of 5 pounds . would you like a recommendation ?
that will be great .
i personally like ballare , they are very contemporaneity
can i get their phone number and postcode please ?
sure ! their phone number is 01223364222 and the postcode is cb23na .
i also need a taxi to commute between the 2 place -s .
i booked a taxi to pick you up at 7 pm , it s going to be a blue volkswagen , the contact number is 07620098271 .",taxi departure,pizza hut cherry hinton,,
"i am looking for a train that leaves sunday and heading to london liverpool street .
wonderful , i can help you . what time on sunday would you like to depart ?
depart time does not matter but i need it to arrive at 18:00 .
the tr2141 arrives by 15:27 . would you like me to reserve some seats for you ?
yes , for 1 please .
okay , you are all set . the fee is 13.28 gbp and your reference number is nn0ddvk4 .
excellent . i also am looking for a restaurant as well . it s called the sitar tandoori .",train leave at,any,,
"i want to find a european restaurant in the west .
there is 1 available , the cambridge lodge restaurant , would you like me to book you ?
no , i am just getting some information together . is it expensive ?
yes it is an expensive restaurant , do you want to try a different restaurant ?
let s go with cambridge lodge . i would like to book for 8 at 17:30 on saturday , please .
reference number is : ipxe2sid . is there anything else ?
actually , i want to change the reservation to sunday .
reference number is : isjvy1rc . is there anything else ?
i am also looking for a hotel , it can be expensive , but it needs to have free wifi .
there are 5 expensive hotel -s , all with wifi . could you tell me which location you are wanting to stay in , to narrow it down ?
the area does not matter , which 1 would you recommend ?
sure , i would recommend the huntingdon marriott hotel which is located near the restaurant . would you like a reservation ?
no thanks , just tell me the phone number and type for it please
it is a hotel and the phone number is 01480446000 .
how many stars does this hotel have ?
it is a 4 star hotel .
i need a taxi to go between the 2 place -s , i need a contact number and car type please .
i would be happy to help with your request . first i'll need to know where you are departing from and what time you will need picked up ?",restaurant price range,expensive,,
"i am looking for a multiple sports location in the centre of town .
i am sorry , there is not a multiple sports center in the centre of town , but there is 1 in the east if you are interested in that 1 .
actually , i really want something in the centre of town . how about nightclubs ? any good ones in the centre of town ?
sure . club salsa is very popular . it is at 1 station road .
we would like to try that club . can you tell me the postcode and if they have an entrance fee ? thanks !
the entrance fee is 5 pounds .
what is the postcode for that ? i am also looking for an indian restaurant near the nightclub , are there any ?
i can only process 1 at a time would you like the post code or the nightclub info ?
postcode please , than search for an indian restaurant if you are able to
club salsa s postcode is cb12jb . my favorite indian restaurant is saffron brasserie , but it s expensive .
great , as long as the restaurant is near the nightclub . do you happen to know the postcode for the restaurant ?
the post code for saffron brasserie is cb21la . may i assist with anything else today ?
that s all i need for today , thanks !",restaurant name,saffron brasserie,,
"i am looking for a 0 star hotel to stay at that include -s free parking . do you know of any ?
i am sorry , there is not anything that matches those requirement -s . can i look for something else ?
i need a hotel with free wifi .
i do not have anything with that criteria . can we try a different area ?
can you look again and search all area -s .
i did find a 0 star guest house with those requirement -s . does that interest you ? or would you like me to find a hotel with a different rating perhaps ?
can you find another 1 please ?
there are 2 with 0 star rating -s , would you prefer to be in the north area or centre ?
honestly it does not matter to me , either area will do just fine . just make sure the hotel offers free wifi and parking .
may i suggest , city centre north bed and breakfast ? would you like me to book this for you ?",hotel stars,0,1,
"hi , could you tell me some attractions in cambridge ?
hello , there are some wonderful museums and most of them are free entrance . we have holy trinity church located on market st .
a swimming pool sounds like much more fun , does not it ?
there are 4 pools , abbey pool and astroturf pitch , jesus green outdoor pool , kings hedges learner pool , and parkside pools . which would you like ?
any 1 of those is fine . may i get the entrance fee ?
i am , sorry , but the entrance fee is not listed . would you like a phone number for 1 of them ?
yes . i am also looking for a train , leaving on friday after 10 , depart cambridge , going to leicester .
tr5648 will be departing cambridge friday at 10:21 , and arriving by 12:06 in leicester . would you like to book a seat for this train ?
that will work . can i have this booking for 6 people as well as the reference number please ?",train leave at,10:00,10,
