domain,exclude
Barber talks to customer in order to cut their hair,0
Animal behaviorist talks to zookeeper in order to observe and analyze animal behavior patterns,0
Lawyer talks to jury consultant in order to review jury selection strategy,0
Speaker talks to audience member in order to answer a question.,0
Post office worker talks to customer in order to weigh their package,0
Student talks to college professor in order to discuss academic advising,0
Art director talks to graphic designer in order to create marketing materials,0
Friend talks to friend in order to console them after a loss.,0
Insurance adjuster talks to customer in order to assess damage,0
Aircraft mechanic talks to pilot in order to assess and repair plane issues,0
Social media influencer talks to their audience in order to build a following,0
Supply chain manager talks to supplier in order to coordinate product delivery and inventory management.,0
Diplomat talks to foreign official in order to discuss policy matters.,0
Self-employed individual talks to accountant in order to discuss taxes.,0
Roommate talks to roommate in order to discuss chores,0
Parent talks to speech therapist in order to develop child's speech skills.,0
Antique dealer talks to customer in order to appraise and negotiate a sale,0
Marketer talks to focus group in order to gather product feedback,0
Freelance writer talks to editor in order to pitch article ideas,0
Employee talks to payroll representative about direct deposit.,0
Event coordinator talks to vendors in order to arrange event services and supplies,0
Emergency response coordinator talks to disaster relief team in order to provide assistance,0
Teacher talks to substitute teacher in order to provide classroom coverage.,0
Teacher talks to student in order to provide feedback on an assignment,0
Creative writer talks to editor in order to develop a book,0
Music festival attendee talks to other attendees in order to plan their schedule,0
Homeowner talks to electrician in order to fix an electrical issue.,0
Counselor talks to support staff in order to coordinate client care,0
College admissions officer talks to high school student in order to provide campus tours and information.,0
Pet owner talks to veterinarian in order to schedule a check-up,0
Customer talks to cashier in order to purchase groceries.,0
Businessperson talks to colleague in order to network,0
Sales trainer talks to salespeople in order to provide training.,0
Shopper talks to sales associate in order to ask for size availability,0
Environmental engineer talks to colleagues in order to research and develop environmental solutions,0
Speaker talks to audience in order to deliver a speech,0
Professional organizer talks to client in order to organize their home or office,0
Organizer talks to participant in order to coordinate a community event,0
Therapist talks to family member in order to provide family therapy,0
Tenant talks to property manager in order to report a noise complaint,0
Customer talks to customer service in order to activate a new credit card.,0
Child talks to grandparents in order to catch up,0
Marketing specialist talks to focus group in order to gather data.,0
Customer talks to service technician in order to repair a broken appliance.,0
Customer talks to online chat representative in order to ask questions about a product,0
Volunteer talks to recipient in order to provide assistance.,0
Recruiting manager talks to new hires in order to onboard them.,0
Coworker talks to coworker in order to discuss a workplace policy.,0
Marine biologist talks to fellow researchers in order to research and monitor marine life and ecosystems,0
Volunteer talks to organization representative in order to coordinate volunteer work,0
CEO talks to potential investor in order to secure funding.,0
Homeowner talks to animal control officer in order to deal with a stray animal.,0
Golf blogger talks to subscribers in order to provide golf tips,0
Secretary talks to boss in order to schedule appointments.,0
Job seeker talks to networking contact in order to learn about job opportunities.,0
Lobbyist talks to politician in order to advocate for certain policies.,0
Account manager talks to customer in order to upsell a service.,0
Consultant talks to client in order to provide professional advice and guidance,0
Economist talks to government official in order to discuss policy decisions,0
Employee talks to human resources in order to discuss workplace harassment.,0
Customer talks to auto dealership finance manager in order to secure auto loan,0
Hedge fund manager talks to investor in order to manage investments,0
Nurse talks to biotech engineer in order to discuss medical device use,0
Librarian talks to patron in order to help them find a book,0
Restaurant manager talks to customer in order to address any issues or complaints,0
Homeowner talks to contractor in order to discuss remodeling plans.,0
Makeup effects artist talks to director in order to create and apply special effects makeup for film and TV,0
Talent agent talks to actor in order to develop a career plan.,0
Athlete talks to sports agent in order to negotiate a contract,0
Student talks to classmate in order to study for an exam.,0
Personal trainer talks to gym staff in order to reserve exercise equipment,0
Passenger talks to flight attendant in order to ask for an extra pillow.,0
Couple talks to wedding planner in order to plan their wedding.,0
Film director talks to crew in order to discuss the vision for a movie.,0
Project manager talks to stakeholders in order to provide updates,0
Employee talks to a wellness coordinator about employee wellness programs.,0
Professor talks to research assistant in order to assign research tasks,0
Speaker talks to interpreter in order to understand what the audience is saying.,0
Hiker talks to park ranger in order to obtain trail maps,0
Employee talks to manager in order to request a promotion.,0
Customer talks to grocery store clerk in order to ask for food recommendations,0
Speechwriter talks to politician in order to research and prepare speeches for public addresses,0
Receptionist talks to co-workers in order to relay office updates and information.,0
Co-worker talks to co-worker in order to coordinate schedules.,0
Crime victim talks to police in order to report a crime.,0
Volunteer talks to fellow volunteer in order to schedule shifts,0
Customer talks to customer service representative about a product return.,0
Music teacher talks to student in order to teach music theory and technique,0
Employee talks to coworker in order to plan a company retreat.,0
Job candidate talks to headhunter in order to discuss potential job opportunities,0
Account manager talks to client in order to discuss contract details,0
Parent talks to nutritionist in order to receive guidance on healthy eating for their family,0
Art teacher talks to student in order to guide them in creating art projects,0
Homeowner talks to painter in order to paint rooms inside house.,0
Parent talks to teacher in order to set up a meeting to discuss their child's progress.,0
Teacher talks to custodian in order to clean classroom after school hours.,0
Parent talks to school counselor in order to discuss a child's social development,0
Shopper talks to marketing team in order to get insights on product features.,0
Collector talks to debtor in order to collect a debt.,0
Baker talks to customer in order to design a custom cake,0
Passenger talks to airport security in order to pass through a checkpoint,0
Traveler talks to immigration officer in order to enter a country,0
Digital artist talks to client in order to create a digital art piece,0
CEO talks to top executives in order to plan company's goals for the year,0
Employee talks to IT specialist in order to troubleshoot a computer issue.,0
Shopper talks to store manager in order to request a refund.,0
Electrician talks to colleague in order to coordinate an installation,0
Youth talks to mentor in order to receive guidance and support,0
HVAC worker talks to homeowner in order to assess and fix heating or cooling issues.,0
Medical coder talks to insurance representative in order to process medical claims,0
Actor talks to producer in order to audition for a role,0
Receptionist talks to building maintenance in order to request repairs,0
Employee talks to boss in order to request additional vacation days.,0
Gas station attendant talks to customer in order to process a payment,0
Sales manager talks to sales team members in order to set sales targets.,0
Occupational therapist talks to client in order to provide therapy for daily living skills and job performance,0
Doctor talks to radiologist in order to interpret medical images.,0
House cleaner talks to client in order to understand their cleaning needs,0
Dispensary worker talks to customer in order to recommend a strain of marijuana,0
Retail associate talks to manager in order to restock shelves,0
Employee talks to supply chain manager in order to manage and track inventory,0
Survivor talks to counselor in order to receive support after traumatic event.,0
Life coach talks to client in order to provide life guidance,0
Neighbor talks to neighbor in order to borrow a tool.,0
Student talks to classmate in order to compare class notes,0
Fitness class instructor talks to class participants in order to instruct them on exercises.,0
Construction worker talks to foreman in order to receive a task assignment,0
Security guard talks to visitor in order to verify their identity and purpose for visit.,0
Radio host talks to listener in order to take calls live,0
Restaurant patron talks to server in order to order food.,0
Data analyst talks to client in order to understand their data needs.,0
Home inspector talks to homeowner in order to inspect a home for sale,0
Technical writer talks to software engineer in order to document software specifications,0
Coworker talks to mentor in order to receive guidance on career development.,0
Psychologist talks to colleague in order to receive peer review,0
Employee talks to benefits administrator about health care coverage.,0
Animator talks to creative director in order to discuss project vision,0
Musician talks to sound engineer in order to adjust their sound on stage.,0
Receptionist talks to client in order to schedule appointments,0
Customer talks to cable provider representative in order to upgrade services.,0
Bank teller talks to manager to authorize a loan,0
Recruitment consultant talks to employer in order to discuss open job positions,0
Customer talks to employee in order to make a return at a store.,0
Customer talks to bank teller in order to deposit or withdraw money.,0
Talent agent talks to employer in order to negotiate a contract,0
Passersby talk to firefighters in order to report a fire in the building,0
Executive talks to assistant in order to delegate tasks and schedule appointments.,0
Mental health counselor talks to client in order to provide therapy,0
Massage therapist talks to client in order to provide deep tissue and relaxation massages,0
Mortgage broker talks to client in order to secure a house loan,0
Physical therapist talks to client in order to create a personalized rehabilitation plan,0
Program manager talks to volunteers about various tasks.,0
Childcare provider talks to parents in order to discuss children's daily activities and progress,0
Voiceover artist talks to director in order to record and deliver voiceover performances,0
Podcaster talks to guest in order to conduct an interview,0
Building inspector talks to construction worker in order to assess building safety and code compliance,0
Adoption agency worker talks to prospective adoptive parents in order to provide adoption education and services,0
Personal shopper assistant talks to clients in order to suggest styling tips.,0
Salesperson talks to prospect in order to sell a product,0
Usher talks to theatergoer in order to assist with seating arrangements,0
Customer talks to jeweler in order to purchase or repair jewelry,0
Bartender talks to bouncer in order to assist with maintaining safety and order in a bar or club,0
Friend talks to friend in order to plan a weekend outing.,0
Event planner talks to client in order to coordinate and plan events,0
Firefighter talks to dispatcher to receive assignment,0
Retail worker talks to supervisor in order to report inventory levels.,0
TV show contestant talks to host in order to participate in a game show,0
Psychologist talks to researcher in order to assist with research and studies on human behavior and mental health issues,0
Employee talks to librarian in order to find specific resources.,0
Developer talks to stakeholder in order to plan and execute software projects,0
DJ talks to event coordinator in order to provide music and entertainment services,0
Veterinarian talks to pet owner in order to provide treatment for a sick or injured pet,0
Museum curator talks to donor in order to request a donation of artifacts,0
Surveyor talks to construction worker in order to analyze building plans,0
Manager talks to director to report on team performance,0
Homeowner talks to pool cleaner in order to clean backyard pool.,0
Customer talks to bank representative in order to apply for a loan,0
Producer talks to director in order to plan production details,0
Lawyer talks to court reporter in order to review a deposition transcript,0
Shopper talks to sales associate in order to ask about product information.,0
Customer talks to tire shop technician in order to replace a tire.,0
Lawyer talks to paralegal about a legal case.,0
Speech pathologist talks to patient in order to assist with speech therapy,0
Speaker talks to organizer in order to adjust speech timing or content.,0
Founder talks to investor in order to get funding for a start-up,0
Immigration officer talks to traveler to check their documents,0
Vlogger talks to their audience in order to create a video.,0
Traveler talks to ticket agent in order to book a flight.,0
Park employee talks to visitor in order to provide directions,0
Detective talks to witness in order to gather evidence.,0
College student talks to career services advisor in order to plan for post-graduation employment,0
Patient talks to nurse in order to receive medical attention.,0
Business owner talks to lawyer in order to discuss legal options.,0
Friend talks to friend in order to recommend a favorite restaurant or movie,0
Parent talks to pediatrician in order to schedule a check-up.,0
Electrician talks to contractor in order to arrange work on a construction site,0
Supply chain manager talks to supplier in order to negotiate pricing,0
Personal stylist talks to client in order to create a wardrobe that meets their personal style.,0
Fashion designer talks to seamstress in order to create a garment,0
Child talks to friend in order to make plans for the weekend.,0
Designer talks to client in order to design and create custom clothing or decor,0
Personal trainer talks to client in order to create a workout plan,0
Customer talks to waiter in order to place their order.,0
Caller talks to operator in order to get assistance.,0
Pet groomer talks to pet owner in order to understand how they want their pet groomed.,0
Public relations specialist talks to journalist in order to pitch a story or press release.,0
Event decorator talks to event planner in order to create design plans,0
Athlete talks to nutritionist in order to plan their diet.,0
Teacher talks to technology specialist about incorporating technology in the classroom.,0
Police officer talks to witness in order to gather information about a crime,0
Artist talks to gallery owner in order to display their work.,0
Passenger talks to flight attendant in order to get help fastening their seatbelt.,0
Catholic priest talks to parishioners in order to lead confession.,0
Petroleum engineer talks to drilling engineer in order to plan and execute oil and gas drilling projects,0
Musician talks to manager in order to schedule a performance.,0
Presenter talks to audio technician in order to test the sound system before a conference,0
College student talks to roommate in order to discuss living arrangements.,0
Social media influencer talks to brand representative in order to collaborate on social media marketing campaigns,0
Fashion designer talks to model in order to fit their garment to their body.,0
Owner talks to employee in order to discuss business strategy.,0
Physical education teacher talks to student in order to teach a sport,0
Friend talks to friend to ask for recommendations for a new accountant,0
Manager talks to HR representative in order to review job applications,0
Ornithologist talks to colleague about bird migrations,0
Employee talks to HR in order to report discrimination in the workplace.,0
Job supervisor talks to employee in order to give feedback,0
Parent talks to social worker in order to get resources for family support.,0
Social media manager talks to client in order to coordinate social media content and strategies.,0
Host talks to decorator in order to plan the decor for a party.,0
Patient talks to medical technician in order to have blood drawn.,0
Journalist talks to editor in order to submit an article for publication,0
Group leader talks to group members in order to delegate tasks.,0
Emergency responder talks to dispatcher in order to receive instructions,0
Patient talks to nurse in order to report side effects of medication.,0
Social worker talks to client in order to assess their needs and offer assistance,0
Wedding videographer talks to bride and groom in order to film a wedding,0
Pilot talks to co-pilot in order to fly the plane.,0
HR manager talks to team member in order to discuss employee benefits and policies.,0
Product manager talks to engineer in order to develop a software product,0
Banker talks to mortgage underwriter in order to secure home loan,0
Traveler talks to hotel receptionist in order to check into their room.,0
Patient talks to allergist in order to receive treatment for allergies.,0
Gardening blogger talks to subscribers in order to provide gardening tips,0
Marketing specialist talks to client in order to develop marketing strategies and campaigns,0
Coach talks to assistant coach in order to plan and coordinate team practices and games.,0
Sales representative talks to clients in order to schedule meetings.,0
Comedian talks to event planner in order to discuss comedy act material,0
Principal talks to teacher in order to provide feedback on their performance,0
Family talks to doctor in order to discuss a family member's health condition,0
Paramedic talks to EMT in order to provide emergency medical care and transport services,0
Retail manager talks to an assistant manager regarding store operations.,0
"Actor talks to agent in order to secure roles in TV, film, and theater productions",0
Web content writer talks to editor in order to review article content,0
Tour manager talks to band members in order to plan and execute concert tours,0
Volunteer talks to elderly person in order to assist with shopping.,0
Umpire talks to coach in order to clarify a rule in a game.,0
Coder talks to programmer in order to collaborate on coding projects,0
Customer talks to interior designer in order to plan a home renovation,0
Artist talks to curator in order to display their work,0
Customer talks to supervisor to escalate a complaint,0
Customer talks to technician in order to install new computer software.,0
Housekeeper talks to host in order to discuss cleaning preferences,0
Paramedic talks to patient in order to administer medical treatment.,0
Wedding planner talks to caterer in order to create a catering plan for a wedding.,0
Individual talks to clergy in order to receive spiritual guidance.,0
Customer talks to support representative in order to get help with an online account.,0
Patient talks to optometrist in order to receive vision treatment.,0
New employee talks to trainer in order to learn company procedures.,0
Customs officer talks to traveler in order to process international travel documentation,0
Hair stylist talks to salon owner in order to discuss business strategy,0
Host talks to restaurant server in order to coordinate seating arrangements,0
Brand ambassador talks to customers in order to promote a brand.,0
Prospect talks to real estate agent in order to learn about available properties.,0
Event coordinator talks to venue manager in order to coordinate an event,0
Event organizer talks to security personnel in order to ensure safety at an event,0
Parent talks to child in order to give them instructions for the day.,0
Homeowner talks to carpenter in order to build a custom piece of furniture,0
Caregiver talks to elderly client in order to provide companionship,0
Pastor talks to congregant in order to offer spiritual guidance,0
Pilot talks to co-pilot to perform a checklist,0
Art director talks to team members in order to plan and execute creative projects,0
Interpreter talks to hearing-impaired individual in order to provide sign language translation,0
Social media manager talks to followers in order to promote a brand.,0
Philanthropist talks to charity founder in order to donate money,0
Employee talks to travel manager about a business trip.,0
Friend talks to friend in order to vent about a bad day at work.,0
Pastor talks to church board in order to provide updates on church activity,0
Customer talks to technician in order to troubleshoot an issue with their device.,0
Literary agent talks to author in order to represent their work,0
Grant writer talks to foundation in order to secure funding.,0
Customer support specialist talks to higher-level support specialist in order to resolve customer issues.,0
Software tester talks to developer in order to test and report bugs and issues in software development,0
Husband talks to wife in order to plan a vacation,0
Climate scientist talks to fellow researchers in order to study and model climate patterns,0
Employee talks to HR representative in order to request a temporary job transfer.,0
Job applicant talks to hiring manager in order to prepare for an interview.,0
Biologist talks to lab assistant in order to conduct experiments.,0
Intellectual property lawyer talks to client in order to provide legal counsel and representation for copyright and trademark issues.,0
Musician talks to a publicist about album promotion.,0
Student talks to financial aid counselor in order to receive funding for college.,0
Mover talks to homeowner in order to move furniture,0
Video editor talks to client in order to edit and produce video content,0
Quality control inspector talks to line worker in order to assess product quality,0
Pets blogger talks to subscribers in order to provide information about pets,0
Presenter talks to event planner in order to prepare for a conference.,0
Special education teacher talks to educational psychologist in order to develop an IEP for a student,0
Non-profit organization talks to grant writer in order to secure funding,0
Producer talks to crew in order to coordinate a film shoot,0
Minister talks to couple in order to perform a wedding ceremony.,0
PR representative talks to influencer in order to secure social media exposure.,0
Lawyer talks to client in order to discuss their case,0
Researcher talks to survey respondent in order to collect data,0
Business owner talks to marketing consultant in order to receive advice on brand strategy,0
Actor talks to wardrobe to choose a costume,0
Pedestrian talks to crossing guard in order to cross the street safely,0
Chef talks to waiter in order to ensure quality of food for customers,0
Friend talks to friend in order to offer congratulations.,0
Caretaker talks to elderly patient in order to administer medication.,0
Employee talks to manager in order to negotiate their contract.,0
Real estate agent talks to home seller in order to list a property on the market,0
Scientist talks to research subject in order to conduct experiments,0
Partner talks to significant other in order to plan date night.,0
Park ranger talks to visitor in order to provide park regulations and safety information.,0
Proofreader talks to author in order to check for grammatical errors and typos in writing,0
Hairdresser talks to coworker to discuss techniques,0
Customer talks to association representative in order to renew membership.,0
Aerospace engineer talks to flight crew in order to design and produce aerospace technology and equipment,0
Documentary filmmaker talks to interviewee in order to gather information.,0
Coworker talks to team leader in order to get advice for a difficult decision.,0
Yoga instructor talks to student in order to teach them yoga,0
Dog trainer talks to client in order to teach and train dogs in obedience and agility,0
Salesperson talks to manager in order to receive training,0
Writer talks to editor in order to receive feedback on a manuscript,0
Photographer talks to editor to discuss image selection,0
News anchor talks to co-anchor in order to report and deliver news stories,0
Shopper talks to app developer in order to understand new app functionality.,0
Caterer talks to client in order to plan a catering event,0
Administrator talks to employee in order to provide constructive feedback.,0
Receptionist talks to colleague in order to transfer a phone call,0
Farm owner talks to farmhand in order to manage operations.,0
Financial planner talks to client in order to assist with retirement planning,0
Interior decorator talks to homeowner in order to design a room,0
Software engineer talks to team member in order to coordinate technical work.,0
Professional gamer talks to fans in order to provide tips for a game.,0
Marketing manager talks to designer in order to create advertising materials,0
Election official talks to voter in order to check their registration.,0
Parent talks to tutor in order to arrange private academic resources for their child,0
Talent agent talks to client in order to arrange and book entertainment gigs,0
Politician talks to advisor in order to make decisions on legislation.,0
Lawn care professional talks to customer in order to provide a quote for lawn maintenance.,0
Environmental scientist talks to community members in order to research and address environmental concerns,0
Retail sales associate talks to customer in order to assist with an item purchase,0
Police officer talks to civilian in order to address a situation,0
Marketing manager talks to copywriter in order to develop marketing materials,0
Speech therapist talks to client in order to improve their communication skills,0
Concert promoter talks to artist in order to schedule a performance,0
Visitor talks to museum guide in order to learn about exhibits,0
Trainer talks to trainee in order to teach them how to use equipment.,0
Golf coach talks to parent in order to give updates on a child's progress,0
Runner talks to running partner in order to set pace,0
Personal assistant talks to employer in order to schedule appointments,0
Athlete talks to sports psychologist in order to improve mental performance.,0
Reader talks to fellow book club member in order to discuss novel.,0
Industrial designer talks to client in order to obtain design requirements.,0
Community organizer talks to resident in order to identify community needs,0
Health inspector talks to restaurant owner in order to inspect facility.,0
Call center representative talks to salesperson in order to generate leads,0
Event planner talks to decorator in order to choose table settings for a party.,0
Hairstylist talks to customer in order to schedule an appointment,0
Employee talks to co-worker in order to discuss job-related stress.,0
Student talks to librarian in order to find a research resource.,0
Public health official talks to community leaders in order to provide healthcare education and resources.,0
Coworker talks to supervisor in order to request a transfer to another department.,0
Customer talks to financial advisor in order to plan retirement,0
Farmer talks to customer in order to sell produce.,0
Boss talks to employee in order to give feedback on a project.,0
Percussionist talks to band director in order to learn their part,0
Friend talks to friend in order to remind them of an important date.,0
Dog trainer talks to owner in order to understand behavior issues.,0
Electrician talks to client in order to repair an electrical issue,0
Event planner talks to musicians in order to create a playlist,0
Casting agent talks to client in order to find them work,0
Dancer talks to choreographer in order to learn a routine,0
Cruise ship director talks to passenger in order to coordinate activities,0
Wedding photographer talks to bride and groom in order to take photos,0
Sports analyst talks to sports commentator in order to provide expert analysis and commentary on sporting events,0
Amusement park employee talks to customer in order to check their height for a ride,0
Web developer talks to project manager in order to discuss website design.,0
Parent talks to bus driver in order to ask about bus transportation for child.,0
Event planner talks to vendor in order to coordinate details for an event,0
Acupuncturist talks to patient in order to treat medical conditions.,0
CEO talks to COO in order to discuss company strategy,0
Blogger talks to readers in order to write a post.,0
Professor talks to student in order to give feedback on a paper,0
Manager talks to employee in order to discuss career development.,0
Scientist talks to a therapist in order to better communicate findings to the public,0
Wildlife biologist talks to park ranger in order to plan and execute conservation efforts and wildlife management strategies,0
Athlete talks to trainer in order to receive physical therapy.,0
Oil rig worker talks to colleagues in order to coordinate drilling and production operations,0
Hair stylist talks to hair salon owner in order to negotiate a booth rental agreement,0
Human resources manager talks to employees in order to handle personnel and staffing issues,0
Marine biologist talks to environmental activist in order to collaborate on ocean conservation efforts,0
Driver talks to mechanic in order to repair their car.,0
Event attendee talks to greeter in order to check-in to an event.,0
Talk show host talks to guest in order to discuss a topic of interest.,0
Host talks to caterer in order to prepare food for an event.,0
Public relations specialist talks to clients in order to create and execute PR strategies,0
Job seeker talks to employment agency in order to find a job.,0
Immigration officer talks to border patrol to coordinate patrols,0
Patron talks to bartender in order to order a drink.,0
Client talks to customer support in order to change account information.,0
Artist talks to model in order to create artwork.,0
Student talks to counselor in order to schedule classes.,0
Marketer talks to target audience in order to promote product,0
Plumber talks to client in order to repair a leak,0
Nurse talks to physician in order to report a patient's vital signs.,0
Box office attendant talks to patron in order to sell tickets.,0
Credit counselor talks to debtor in order to help them manage debt,0
Urban planner talks to city officials in order to plan and implement urban development and infrastructure projects,0
Marketer talks to media buyer in order to purchase advertising space,0
Pilot talks to mechanic to perform pre-flight checks,0
Volunteer talks to food bank user in order to give them food.,0
Art director talks to artist in order to design a piece of art,0
Farmer talks to supplier in order to order equipment and supplies.,0
Administrator talks to colleague in order to discuss work-related topics.,0
Administrator talks to board members in order to report organizational progress.,0
Playground monitor talks to student in order to ensure playground safety.,0
Photographer talks to client in order to schedule and arrange photo shoots,0
