text,slot,value,pred,error
"""i need a taxi from the hotel to the restaurant , leaving the hotel by 02:30 , i have to make sure im first in line when they open for breakfast .""","""taxi leave at""","""02:30""","{""free parking available"": ""?"", ""looking for free parking"": ""True"", ""looking for place to stay"": ""True"", ""hotel area"": ""South"", ""east hotel"": ""False"", ""north hotel"": ""False"", ""south hotel"": ""True"", ""west hotel"": ""False"", ""price"": ""?"", ""cheap place to stay"": ""No"", ""expensive place to stay"": ""Yes"", ""price preference"": ""Expensive"", ""guest house preference"": ""False"", ""hotel preference"": ""True"", ""accommodation type"": ""Hotel"", ""book room"": ""?"", ""free parking"": ""Yes"", ""free wifi"": ""Yes"", ""hotel name"": ""Lensfield hotel"", ""num people"": ""?"", ""num guests"": ""3"", ""start date"": ""Friday"", ""stay duration"": ""5 nights"", ""reference number"": ""68sv7auh"", ""restaurant food type"": ""mexican"", ""restaurant location"": ""same area as hotel"", ""restaurant type"": ""mexican"", ""chiquito cost"": ""Expensive"", ""chiquito location"": ""Same area as hotel"", ""chiquito reservation"": ""?"", ""restaurant serving mexican food"": ""Chiquito restaurant bar"", ""phone number"": ""01223400170"", ""post code"": ""cb17dy"", ""restaurant phone number"": ""01223400170"", ""restaurant postcode"": ""cb17dy"", ""first in line requirement"": ""First in line for breakfast"", ""taxi departure time"": ""02:30"", ""taxi destination"": ""Hotel to restaurant""}",correct
"""would you be able to arrange taxi service from cambridge artworks to royal standard leaving by 13:30 ?""","""taxi leave at""","""13:30""","{""east museum"": ""?"", ""looking for"": ""place to eat"", ""museum location"": ""East"", ""preferred place"": ""Museum"", ""cambridge artworks"": ""?"", ""free admission"": ""most"", ""museum east"": ""several"", ""cambridge artworks address"": ""5 greens road"", ""cambridge artworks opinion"": ""interesting"", ""building number"": ""5"", ""street name"": ""greens road"", ""food type"": ""gastropub food"", ""location"": ""cambridge artworks"", ""book table royal standard"": ""False"", ""location same area museum gastropub"": ""Royal standard"", ""postcode royal standard"": ""?"", ""help needed"": ""?"", ""postcode"": ""cb13nl"", ""additional help"": ""taxi service from cambridge artworks to royal standard leaving by 13:30"", ""departure time"": ""13:30"", ""destination"": ""royal standard"", ""taxi arrangement"": ""?""}",no domain
"""actually , i need to leave charlie chan by 11:15 and go to home from home .""","""taxi leave at""","""11:15""","{""cheap chinese restaurant"": ""Charlie chan"", ""restaurant info"": ""cheap chinese restaurant"", ""charlie chan location"": ""Centre area"", ""make reservation"": ""?"", ""charlie chan good"": ""?"", ""charlie chan reservation"": ""True"", ""only cheap restaurant centre"": ""True"", ""centre cheap chinese restaurant"": ""Rice house downtown"", ""rice house good"": ""Yes"", ""rice house location"": ""88 mill road city centre"", ""phone number first 1"": ""01223361763"", ""help needed"": ""booking a room in the home from home guest house"", ""additional assistance"": ""booking a room in the home from home guest house"", ""book room"": ""?"", ""book room home from home guest house"": ""True"", ""departure day"": ""?"", ""party size"": ""5"", ""stay nights"": ""?"", ""num nights"": ""3"", ""start date"": ""Thursday"", ""travel day"": ""Thursday"", ""assist today"": ""taxi from hotel to restaurant"", ""reference number"": ""724pgt2e"", ""destination"": ""home from home"", ""location"": ""hotel"", ""taxi available"": ""?"", ""transportation"": ""taxi"", ""arrive time"": ""home from home"", ""leave time"": ""11:15"", ""taxi from hotel to restaurant"": ""True"", ""departure location"": ""charlie chan"", ""departure time"": ""11:15""}",no domain
"""ok , are you able to find me a taxi that will leave my hotel by 15:30""","""taxi leave at""","""15:30""","{""available places"": ""?"", ""greeted by"": ""speaker"", ""location"": ""20 milton road chesterton"", ""needs"": ""place to eat"", ""address"": ""20 milton road, chesterton"", ""appealing"": ""?"", ""cuisine"": ""Indian food"", ""phone number"": ""01223351707"", ""restaurant name"": ""Royal spice"", ""looking for greek restaurant"": ""True"", ""other restaurants in area"": ""?"", ""another area cuisine"": ""?"", ""greek restaurants north"": ""False"", ""cuisine preference"": ""Italian"", ""search area"": ""?"", ""search cuisine"": ""?"", ""italian restaurant"": ""da vinci pizzeria"", ""cheap restaurant"": ""True"", ""book today"": ""True"", ""postcode"": ""cb41jy"", ""need reservation"": ""False"", ""looking for 4 star guest house"": ""True"", ""area preference"": ""?"", ""price range preference"": ""?"", ""include parking"": ""Yes"", ""include wifi"": ""Yes"", ""price range"": ""No"", ""specific area"": ""Any"", ""star rating"": ""4"", ""type of accommodation"": ""Guest house"", ""fit needs"": ""acorn guest house"", ""more info"": ""True"", ""free internet"": ""?"", ""free parking"": ""?"", ""internet free"": ""Yes"", ""parking free"": ""Yes"", ""book for 5 nights"": ""?"", ""book for 5 people"": ""?"", ""book 5 nights for 5 people"": ""True"", ""start day"": ""Sunday"", ""friday start"": ""No"", ""monday start"": ""No"", ""saturday start"": ""No"", ""sunday start"": ""Yes"", ""accommodate sunday stay"": ""False"", ""do another day"": ""True"", ""start sunday"": ""False"", ""try 4 nights"": ""?"", ""booked nights"": ""4"", ""reference number"": ""aco29hvu"", ""taxi availability"": ""?"", ""taxi departure time"": ""15:30""}",correct
"""can you book a taxi for me ? i want to leave camboats by 14:30 to head back to the hotel .""","""taxi leave at""","""14:30""","{""find archway house"": ""?"", ""help needed"": ""booking taxi"", ""hotel name"": ""Archway house"", ""amenities"": ""Free wifi, free parking"", ""location"": ""North end"", ""price range"": ""Moderate -ly priced"", ""star rating"": ""4 stars"", ""booking duration"": ""3 nights"", ""booking start date"": ""saturday"", ""num rooms needed"": ""7"", ""num people"": ""7"", ""stay duration"": ""3 nights"", ""attraction name"": ""camboats"", ""find camboats"": ""?"", ""reference number"": ""2g8lc07r"", ""start date"": ""Saturday"", ""additional info needed"": ""postcode"", ""booking location"": ""Archway house"", ""camboats description"": ""Boating attraction in the east"", ""attraction location"": ""east"", ""attraction type"": ""boating"", ""postcode"": ""cb58sx"", ""book taxi"": ""?"", ""destination"": ""hotel"", ""leave time"": ""14:30""}",no domain
"""i would like to book a taxi to take me from the restaurant to the junction at 9:00""","""taxi leave at""","""09:00""","{""budget"": ""cheap"", ""dining options"": ""?"", ""location"": ""South side of town"", ""need"": ""cheap place to dine"", ""indian food preference"": ""?"", ""italian food preference"": ""?"", ""address"": ""victoria avenue chesterton, postcode cb41eh"", ""food preference"": ""Indian"", ""phone number"": ""01733553355"", ""other info"": ""?"", ""additional info needed"": ""the junction"", ""attraction details"": ""?"", ""attraction name"": ""the junction"", ""attraction type"": ""Theatre"", ""junction info"": ""Theatre on clifton way"", ""street name"": ""clifton way"", ""next step"": ""Farewell"", ""thank reason"": ""Help"", ""theatre location"": ""South side of town, clifton way"", ""response to gratitude"": ""You are welcome, glad to help. bye."", ""taxi departure time"": ""9:00"", ""taxi destination"": ""junction"", ""taxi location"": ""restaurant""}",correct
"""yes please , i will need a taxi to take me to the restaurant . i would like to leave the hotel say around 3 ?""","""taxi leave at""","""03:00""","{""location"": ""?"", ""looking for"": ""Royal spice"", ""restaurant name"": ""Royal spice"", ""royal spice cuisine"": ""indian"", ""royal spice location"": ""victoria avenue chesterton on the north side"", ""royal spice type"": ""indian"", ""phone number"": ""01733553355"", ""price range"": ""cheap"", ""hotel name"": ""Worth house"", ""worth house location"": ""North"", ""worth house price"": ""Cheap"", ""worth house type"": ""Guest house"", ""worth house availability"": ""?"", ""worth house nights"": ""5"", ""worth house person"": ""1"", ""worth house start date"": ""Monday"", ""book 1 person 5 nights monday"": ""True"", ""help with anything else"": ""taxi to restaurant"", ""reference number"": ""exqr8kqt"", ""leave hotel time"": ""3?"", ""need taxi"": ""true""}",no domain
"""can i have their phone number ? do they have free parking ?""","""hotel name""","""avalon""","{""type of guest house"": ""Guest house"", ""want guest house"": ""True"", ""help guest house"": ""True"", ""stay area"": ""moderately priced with free wifi"", ""amenities preference"": ""free wifi"", ""price preference"": ""does not matter"", ""book for you"": ""?"", ""recommend place"": ""avalon"", ""book avalon"": ""True"", ""free parking"": ""?"", ""phone number"": ""?""}",value in slot
"""yes , please book the room .""","""hotel name""","""lensfield hotel""","{""free parking available"": ""?"", ""hotel requirements"": ""Free parking"", ""visit location"": ""North cambridge"", ""ashley hotel"": ""moderately priced"", ""free internet"": ""free internet"", ""free parking"": ""True"", ""lovell lodge"": ""moderately priced"", ""more expensive hotel -s"": ""?"", ""different part of town"": ""?"", ""expensive hotel -s"": ""False"", ""try different part"": ""True"", ""try south"": ""?"", ""book lensfield"": ""?"", ""lensfield internet"": ""Yes"", ""lensfield location"": ""South"", ""lensfield parking"": ""Yes"", ""south hotel"": ""Lensfield hotel"", ""book lensfield hotel"": ""True"", ""internet"": ""True"", ""south location"": ""True""}",value in slot
"""yes , please . there will be 3 of us arriving on wednesday . we would like to stay for 5 nights .""","""hotel name""","""ashley hotel""","{""bus price north"": ""?"", ""bus search"": ""False"", ""bus search info"": ""?"", ""location"": ""north"", ""need"": ""place to stay"", ""star rating"": ""2 stars"", ""ashley booking"": ""?"", ""hotel options"": ""\""ashley\"", \""lovell lodge\"""", ""lovell booking"": ""?"", ""ashley guest house"": ""?"", ""book 1"": ""True"", ""lovell guest house"": ""?"", ""guest house"": ""False"", ""guest houses in area"": ""False"", ""try another type"": ""True"", ""hotel type"": ""?"", ""preferred type"": ""Hotel"", ""ashley hotel reason"": ""meets needs"", ""book ashley hotel"": ""True"", ""hotel suggestion"": ""ashley hotel"", ""arrival date"": ""Wednesday"", ""num guests"": ""3"", ""stay duration"": ""5 nights""}",slot variant
"""1 moment while i look up the alpha milton guest house for you .""","""hotel name""","""alpha milton guest house""","{""alpha milton guest house"": ""?"", ""next action"": ""look up alpha milton guest house"", ""wait time"": ""1 moment""}",slot variant
"""i am looking to get some information on gonville hotel .""","""hotel name""","""gonville hotel""","{""information"": ""?"", ""location"": ""gonville hotel"", ""seeker"": ""speaker""}",slot variant
"""if archway house offers free parking , then i am all set .""","""hotel name""","""archway house""","{""need train"": ""True"", ""train day"": ""Thursday"", ""train time"": ""?"", ""destination"": ""kingls lynn"", ""arrival location"": ""kingls lynn"", ""departure location"": ""canbrige"", ""arrival time"": ""?"", ""departure time"": ""18:45"", ""time frame"": ""18:45, thursday"", ""departure day"": ""thursday"", ""closest train"": ""tr0481"", ""get tickets"": ""True"", ""train departure time"": ""19:11"", ""num tickets needed"": ""1"", ""booking number"": ""1"", ""payment location"": ""station"", ""reference number"": ""o2igkvwr"", ""total fee"": ""9.8 gbp"", ""accommodation fee"": ""9.8 gbp"", ""accommodation type"": ""Moderate"", ""additional info"": ""?"", ""preferred area"": ""?"", ""area preference"": ""No"", ""specific area preference"": ""No preference"", ""star rating preference"": ""4 star guest houses"", ""options"": ""11"", ""free parking"": ""Archway house"", ""phone number"": ""01223575314"", ""help with anything else"": ""free parking"", ""archway house free parking"": ""?""}",slot variant
"""okay thanks i am looking for a particular hotel is well named gonville hotel""","""hotel name""","""gonville hotel""","{""book train broxbourne wednesday"": ""True"", ""train departure date"": ""Wednesday"", ""train departure location"": ""Broxbourne"", ""number of trains"": ""5"", ""particular time"": ""After 11:30"", ""leave time"": ""After 11:30"", ""arrival time"": ""12:32"", ""train count"": ""13"", ""first train after 11"": ""30 time: 11:32"", ""first train arrival time"": ""12:32"", ""departure time"": ""11:32"", ""train number"": ""tr5953"", ""hotel name"": ""gonville hotel""}",correct
"""yes , i would like to book a room for 1 for 4 nights starting on tuesday .""","""hotel name""","""cambridge belfry""","{""location"": ""west"", ""looking for"": ""place to dine"", ""price range"": ""cheap"", ""cheap places west"": ""\""la margherita\"", \""thanh binh\"""", ""la margherita type"": ""italian food"", ""preference"": ""la margherita"", ""thanh binh type"": ""vietnamese fare"", ""num people"": ""1"", ""reservation day"": ""tuesday"", ""reservation time"": ""11:45"", ""help needed"": ""?"", ""reference number"": ""qiudki13"", ""hotel location"": ""Near restaurant"", ""near restaurant"": ""?"", ""need help"": ""True"", ""stay type"": ""Hotel"", ""better hotel"": ""?"", ""cheap hotel"": ""1"", ""expensive hotel"": ""1"", ""hotel near restaurant"": ""2"", ""both hotels have free parking"": ""?"", ""need free parking"": ""True"", ""both have free parking"": ""True"", ""free parking"": ""True"", ""one has free parking"": ""True"", ""the other has free parking"": ""True"", ""num nights"": ""4"", ""start date"": ""Tuesday"", ""booking location"": ""huntingdon marriott hotel"", ""huntingdon marriott location"": ""west area"", ""huntingdon marriott rating"": ""4 star"", ""cheap place"": ""Cambridge belfry"", ""book cambridge belfry"": ""True"", ""num rooms"": ""1""}",slot variant
"""yes , please . there will be 3 of us staying for 4 nights , starting friday .""","""hotel name""","""acorn guest house""","{""attractions"": ""?"", ""location"": ""north"", ""searcher"": ""speaker"", ""boat area"": ""1"", ""more info"": ""Swimming pool postcode"", ""park"": ""1"", ""swimming pools"": ""2"", ""swimming pool postcode"": ""cb43px"", ""additional help"": ""free wifi, north"", ""recommended pool"": ""jesus green outdoor pool"", ""zip code"": ""cb43px"", ""free wifi available"": ""?"", ""stay location"": ""north"", ""stay needs"": ""free wifi"", ""free wifi north"": ""33"", ""price range"": ""?"", ""free parking"": ""11"", ""other preferences"": ""Free parking, free wifi, north"", ""location preference"": ""North"", ""parking preference"": ""Free parking"", ""recommended place"": ""acorn guest house"", ""wifi preference"": ""Free wifi"", ""book acorn guest house"": ""True"", ""num guests"": ""3"", ""start date"": ""Friday"", ""stay duration"": ""4 nights""}",slot variant
"""that could be really nice , thank you .""","""hotel name""","""carolina bed and breakfast""","{""budget"": ""Expensive"", ""looking for"": ""Expensive hotel"", ""stay location"": ""Expensive hotel"", ""hotel found"": ""5 place -s"", ""university arms rating"": ""Good rating -s"", ""expensive guest house"": ""False"", ""guest house"": ""?"", ""hotel"": ""?"", ""hotel style"": ""?"", ""price range"": ""?"", ""different hotel style"": ""moderate priced hotel -s"", ""different price range"": ""moderate priced hotel -s"", ""search type"": ""moderate priced hotel -s"", ""area preference"": ""East"", ""moderate guest houses"": ""True"", ""moderate hotel -s"": ""True"", ""search moderate hotel -s"": ""True"", ""free wifi"": ""Yes"", ""book carolina bed breakfast"": ""True"", ""east guest houses"": ""3"", ""free wifi guest houses"": ""1"", ""parking guest house"": ""1"", ""appreciate booking carolina bed breakfast"": ""True""}",value in slot
"""are there any restaurant -s that would be in the west ?""","""restaurant area""","""west""","{""train departure time"": ""19:59"", ""train departure time evening"": ""?"", ""train location"": ""Cambridge"", ""destination"": ""london liverpool street"", ""train day"": ""wednesday"", ""book tr6037"": ""True"", ""train for wednesday"": ""tr6037"", ""departure time"": ""19:59"", ""travel time"": ""88 minutes"", ""num tickets"": ""?"", ""price per ticket"": ""16.60 pounds"", ""restaurant west"": ""?""}",value in slot
"""i'll also be needing a restaurant . i would like it to be in the centre and cheap .""","""restaurant area""","""centre""","{""train departure time"": ""18:06"", ""train destination"": ""Peterborough"", ""train to peterborough"": ""?"", ""departure site"": ""Cambridge"", ""travel day"": ""Saturday"", ""leave from cambridge"": ""Yes"", ""leave on saturday"": ""Yes"", ""acceptable departure time"": ""18:06"", ""train arrival time"": ""18:56"", ""acceptable arrival time"": ""18:56"", ""num passengers"": ""7"", ""reference number"": ""sti1rob6"", ""help with anything else"": ""?"", ""total fee"": ""92.4 gbp"", ""help needed"": ""restaurant"", ""restaurant budget"": ""cheap"", ""restaurant location"": ""centre""}",correct
"""how about 3 nights ? also could i get the reference number for the limehouse , and do you know if there is indian food nearby it ?""","""restaurant area""","""north""","{""accommodation type"": ""Guest house"", ""guest house available"": ""?"", ""location"": ""North part of town"", ""book 1 guest house"": ""?"", ""guest house available north"": ""several"", ""book 1"": ""True"", ""free wifi"": ""True"", ""moderate price"": ""True"", ""north area"": ""True"", ""dates to book"": ""?"", ""guest houses free wifi"": ""Yes"", ""guest houses moderate price"": ""Yes"", ""guest houses north"": ""8"", ""num people to book"": ""?"", ""dates"": ""May 5 to may 7"", ""end date"": ""May 7"", ""num people"": ""1"", ""start date"": ""Saturday"", ""acorn guest house"": ""?"", ""arbury lodge guest house"": ""?"", ""archway house"": ""?"", ""avalon"": ""?"", ""hamilton lodge"": ""?"", ""home from home"": ""?"", ""kirkwood house"": ""?"", ""limehouse"": ""?"", ""book limehouse"": ""True"", ""stay duration"": ""4 nights"", ""book another day"": ""?"", ""book limehouse 1 person 4 nights saturday"": ""False"", ""book shorter stay"": ""?"", ""indian food nearby"": ""?"", ""reference number"": ""?"", ""shorter stay"": ""3 nights""}",coreference
"""actually , i am looking for an expensive restaurant in the west area .""","""restaurant area""","""west""","{""cambridge restaurants"": ""?"", ""help needed"": ""Restaurant -s"", ""planning trip"": ""True"", ""dojo noodle bar address"": ""40210 millers yard"", ""dojo noodle bar location"": ""40210 millers yard, city centre"", ""restaurant location"": ""west area"", ""restaurant type"": ""expensive""}",correct
"""i need something in the moderate price range in the centre of the city .""","""restaurant area""","""centre""","{""attraction"": ""downing college"", ""destination"": ""cambridge"", ""downing college location"": ""centre of town"", ""traveler"": ""speaker"", ""additional assistance"": ""False"", ""downing college postal code"": ""cb21dq"", ""downing college street"": ""regent street"", ""gratitude"": ""True"", ""satisfaction"": ""True"", ""response to gratitude"": ""Thank you and have a wonderful day."", ""wish for me"": ""Have a wonderful day."", ""hungry for european food"": ""True"", ""still there"": ""True"", ""num european restaurants"": ""11"", ""location"": ""centre of the city"", ""price range"": ""moderate""}",no domain
"""i would like a restuarant in the north with expensive food .""","""restaurant area""","""north""","{""food type"": ""Expensive"", ""location"": ""North"", ""restaurant type"": ""Restuarant""}",no domain
"""i am looking for an expensive restaurant in the centre part of town .""","""restaurant area""","""centre""","{""budget"": ""Expensive"", ""location"": ""Centre part of town"", ""looking for"": ""Expensive restaurant""}",value in slot
"""yes if it is cheap and in town centre i would like to book a table for 3 people on saturday please .""","""restaurant area""","""centre""","{""low price range"": ""?"", ""mediterranean dishes"": ""?"", ""moderate price range"": ""?"", ""price range"": ""Low to moderate"", ""restaurant type"": ""Mediterranean"", ""gardenia location"": ""Centrally"", ""make reservation gardenia"": ""True"", ""restaurant serving mediterranean dishes"": ""Gardenia"", ""is gardenia cheap"": ""?"", ""need cheap place"": ""True"", ""cheap place"": ""True"", ""reservation"": ""True"", ""day"": ""Saturday"", ""location"": ""Town centre"", ""num people"": ""3"", ""price"": ""?""}",no domain
"""i am also looking for a expensive restaurant located in the north .""","""restaurant area""","""north""","{""departure date"": ""friday"", ""destination"": ""london liverpool street"", ""help with train tickets"": ""?"", ""train tickets needed"": ""friday, london liverpool street"", ""departure time"": ""15:45"", ""ticket cost"": ""16.60 pounds"", ""train tickets friday liverpool street"": ""True"", ""trip duration"": ""88 minutes"", ""arrival time"": ""15:45"", ""departure location"": ""Cambridge"", ""num tickets needed"": ""?"", ""num tickets"": ""1"", ""train id"": ""tr4187"", ""book for you"": ""?"", ""book train id"": ""True"", ""restaurant location"": ""North"", ""restaurant type"": ""Expensive""}",correct
"""yes , i am looking for a panasian restaurant in the centre of town .""","""restaurant area""","""centre""","{""assistance request"": ""find a restaurant"", ""conversation initiator"": ""speaker"", ""restaurant location"": ""Centre of town"", ""find restaurant"": ""True"", ""food type"": ""Panasian"", ""town area"": ""?"", ""restaurant type"": ""Panasian"", ""specific area"": ""Centre of town""}",correct
"""i'll need the taxi between charlie chan and castle galleries please""","""taxi destination""","""castle galleries""","{""available places"": ""?"", ""location"": ""Center of town at regent street city centre"", ""needs"": ""place to go"", ""like architecture"": ""True"", ""like museums"": ""True"", ""like nightclubs"": ""True"", ""like theatres"": ""True"", ""entrance fee"": ""Free"", ""phone number"": ""01223307402"", ""admission fee"": ""free"", ""help with anything else"": ""dining at charlie chan"", ""museum name"": ""Castle galleries"", ""restaurant name"": ""charlie chan"", ""need reservation"": ""True"", ""food type"": ""Cheap chinese"", ""additional info"": ""True"", ""postcode"": ""cb21db"", ""help today"": ""?"", ""help with anything else today"": ""Book taxi at 14:15"", ""leave location"": ""Restaurant"", ""return destination"": ""Hotel"", ""taxi booking time"": ""14:15"", ""hotel stay"": ""?"", ""hotel check date"": ""?"", ""hotel name"": ""?"", ""expressed gratitude"": ""Yes"", ""response to check"": ""Okay"", ""taxi destination"": ""charlie chan, castle galleries"", ""taxi needed"": ""charlie chan, castle galleries""}",incorrect value
"""i would like to get a taxi to leave rosa s bed and breakfast by 22:45 to go to camboats .""","""taxi destination""","""camboats""","{""guest house location"": ""South"", ""guest house type"": ""Guest house"", ""south guest house"": ""?"", ""amenities"": ""free parking, wifi"", ""location"": ""?"", ""price range"": ""cheap"", ""star rating"": ""1"", ""cheap location"": ""rosa s bed and breakfast"", ""make reservation"": ""True"", ""address"": ""53 roseford road"", ""additional services"": ""free wifi, taxi arrangement"", ""business name"": ""rosa s bed and breakfast"", ""street address"": ""53 roseford road"", ""see camboats"": ""?"", ""camboats entrance fee"": ""?"", ""camboats location"": ""East"", ""camboats phone number"": ""01223902112"", ""camboats"": ""boat type of attraction"", ""entrance fee"": ""?"", ""number"": ""?"", ""get anything else"": ""?"", ""arrange taxi"": ""True"", ""next location"": ""rosa s bed and breakfast"", ""wifi available"": ""?"", ""free wifi"": ""True"", ""taxi info"": ""rosa s bed and breakfast, 22:45, camboats"", ""departure location"": ""rosa s bed and breakfast"", ""departure time"": ""22:45"", ""destination"": ""camboats""}",no domain
"""thank you . i'll need a cab from the church to the restaurant that arrives by my booking time .""","""taxi destination""","""bedouin""","{""budget"": ""expensive"", ""location"": ""Town"", ""looking for"": ""expensive restaurant"", ""book bedouin"": ""?"", ""food type"": ""African"", ""restaurant type"": ""Bedouin"", ""book bedouin restaurant"": ""True"", ""reference number"": ""7b529gfp"", ""reservation day"": ""Sunday"", ""reservation time"": ""15:15"", ""table size"": ""6"", ""additional services"": ""?"", ""table number"": ""6"", ""table time"": ""15:15 on sunday"", ""additional assistance"": ""Yes"", ""interesting architecture"": ""?"", ""type"": ""Interesting architecture"", ""all saints church admission"": ""free"", ""all saints church location"": ""jesus lane"", ""town centre options"": ""5"", ""phone to all saints church"": ""?"", ""fifth digit"": ""5"", ""first digit"": ""1"", ""fourth digit"": ""4"", ""phone number"": ""01223452587"", ""second digit"": ""2"", ""sixth digit"": ""6"", ""third digit"": ""3"", ""cab arrival time"": ""by booking time"", ""cab destination"": ""restaurant"", ""cab location"": ""church"", ""cab needed"": ""01223452587""}",coreference
"""i need a cab for the commute , it needs to get to the restaurant by my reservation time . contact # and car type please""","""taxi destination""","""cote""","{""cote restaurant info"": ""?"", ""cote address"": ""?"", ""cote booking"": ""?"", ""cote description"": ""Expensive french restaurant in the centre"", ""cote phone number"": ""?"", ""book table"": ""Yes"", ""booking day"": ""Tuesday"", ""booking time"": ""13:00"", ""num people"": ""2"", ""hold table time"": ""15 minutes"", ""need help"": ""True"", ""reference number"": ""idpgs1jz"", ""find something to do"": ""lots of attractions, 44 results in center of town"", ""center of town results"": ""44 results"", ""city attractions"": ""lots of attractions"", ""specific location"": ""?"", ""attraction location"": ""city_centre"", ""theatre in city centre"": ""?"", ""adc theatre"": ""?"", ""cambridge arts theatre"": ""?"", ""cambridge corn exchange"": ""?"", ""mumford theatre"": ""?"", ""theatre city centre"": ""4"", ""address adc theatre"": ""Park street"", ""phone number adc theatre"": ""01223300085"", ""help needed"": ""?"", ""help with anything else"": ""book taxi"", ""taxi booking process"": ""?"", ""taxi destination"": ""restaurant and theatre"", ""book taxi"": ""True"", ""leave time"": ""By reservation time"", ""cab type"": ""Cab for commute"", ""car type"": ""?"", ""contact number"": ""?""}",coreference
"""clowns cafe , please .""","""taxi destination""","""clowns cafe""","{""taxi booking process"": ""?"", ""taxi destination"": ""clowns cafe"", ""taxi requester"": ""speaker"", ""destination"": ""clowns cafe"", ""address"": ""clowns cafe"", ""location"": ""clowns cafe""}",correct
"""i would like to get a taxi from the museum of archaeology and anthropology to the soul tree nightclub""","""taxi destination""","""soul tree nightclub""","{""taxi destination"": ""soul tree nightclub""}",correct
"""i would like to leave the hotel by 22:00 to go to the gardina . please let me know the contact number and car type .""","""taxi destination""","""the gardenia""","{""location"": ""cambridge"", ""need"": ""hamilton lodge"", ""type"": ""hamilton lodge"", ""hamilton lodge cambridge"": ""01223365664"", ""phone number hamilton lodge cambridge"": ""01223365664"", ""hotel type"": ""Guest house"", ""num stars"": ""3"", ""is guest house"": ""Yes"", ""hotel location"": ""North"", ""is north"": ""Yes"", ""area"": ""North"", ""restaurant centre"": ""?"", ""restaurant location"": ""Centre of town"", ""restaurant specialty"": ""Unusual cuisine"", ""unusual cuisine restaurant centre"": ""False"", ""mediterranean cuisine"": ""?"", ""cheap preference"": ""?"", ""expensive preference"": ""?"", ""mediterranean options"": ""3"", ""price range"": ""\""gardina\"": \""cheap\"", \""la mimosa\"": \""expensive\"", \""shiraz restaurant\"": \""expensive\"""", ""more info"": ""?"", ""gardina info"": ""True"", ""la mimosa info"": ""True"", ""shiraz info"": ""True"", ""taxi info"": ""True"", ""transportation needed"": ""True"", ""arrival restaurant"": ""gardina"", ""arrival time"": ""?"", ""car type"": ""?"", ""contact number"": ""?"", ""departure time"": ""22:00""}",slot variant
"""i need it to leave the restaurant by 19:30 .""","""taxi destination""","""express by holiday inn cambridge""","{""help find restaurant"": ""True"", ""looking for restaurant"": ""True"", ""restaurant name"": ""lan hong house"", ""city area"": ""centre of town"", ""lan hong house location"": ""centre of town"", ""price range lan hong house"": ""?"", ""lan hong house price range"": ""Moderate"", ""make reservation"": ""True"", ""reservation date"": ""?"", ""reservation time"": ""?"", ""num people"": ""?"", ""reservation day"": ""?"", ""holiday inn postcode"": ""?"", ""apologize wait"": ""Yes"", ""postcode holiday inn cambridge"": ""cb13lh"", ""need taxi"": ""True"", ""taxi fare"": ""?"", ""taxi location"": ""?"", ""taxi destination"": ""Lang hong house to holiday inn cambridge"", ""taxi time"": ""19:30"", ""departure location"": ""Restaurant"", ""departure time"": ""19:30""}",incorrect value
"""i would like to be taken to tenpin""","""taxi destination""","""tenpin""","{""help with taxi"": ""?"", ""need taxi"": ""True"", ""pickup location"": ""fez club"", ""arrival time"": ""18:45"", ""taxi help"": ""True"", ""arrive after 1845"": ""No"", ""arrive before 1845"": ""No"", ""destination"": ""Tenpin"", ""take to tenpin"": ""True""}",no domain
"""i am going to la margherita .""","""taxi destination""","""la margherita""","{""location"": ""Saint john s college"", ""need"": ""Taxi"", ""pickup time"": ""18:45"", ""taxi available"": ""?"", ""destination"": ""la margherita"", ""city"": ""la margherita"", ""town"": ""la margherita""}",no domain
"""is that the newest theatre ? i want to visit some local place -s .""","""attraction name""","""adc theatre""","{""departure time"": ""21:34"", ""destination"": ""Peterborough"", ""find train"": ""True"", ""peterborough train"": ""?"", ""departure location"": ""Cambridge"", ""departing from cambridge"": ""True"", ""arrival time"": ""False"", ""arrival preference"": ""False"", ""tr8131"": ""?"", ""make booking"": ""?"", ""tr8131 time"": ""?"", ""booking for 7 people"": ""?"", ""departure time okay"": ""21:34"", ""payment location"": ""station"", ""reference number"": ""wfkvrsvf"", ""total fee"": ""115.5 gbp"", ""theatres in town"": ""few"", ""adc theatre location"": ""park street"", ""recommended theatre"": ""adc theatre"", ""newest theatre"": ""?"", ""visit local places"": ""?""}",slot variant
